candidate_rank_final,candidate_rank_is,robust_score,metric_key,is_metric,oos_metric,full_metric,is_oos_gap,oos_activity_pct,full_activity_pct,oos_return_pct,full_return_pct,oos_bankrupt,full_bankrupt,oos_run_dir,full_run_dir,params_path,p_lookback,p_entry_z,p_exit_z
1,1,-0.5072120737894499,true_pd_ratio,-0.3219669014967237,-0.45075172266392427,-0.5745604824987426,0.12878482116720058,2.6666666666666665,4.0,-0.20335803091600102,-0.3384742047159994,0,0,output\cross_asset_scan_v1\mr\asset07\grid_search\robust_selection\candidate_01\oos\run_20260314_30-oos,output\cross_asset_scan_v1\mr\asset07\grid_search\robust_selection\candidate_01\full\run_20260314_100-full,output\cross_asset_scan_v1\mr\asset07\grid_search\robust_selection\candidate_01\params.json,60.0,2.5,0.0
2,2,-0.5072120737894499,true_pd_ratio,-0.3219669014967237,-0.45075172266392427,-0.5745604824987426,0.12878482116720058,2.6666666666666665,4.0,-0.20335803091600102,-0.3384742047159994,0,0,output\cross_asset_scan_v1\mr\asset07\grid_search\robust_selection\candidate_02\oos\run_20260314_30-oos,output\cross_asset_scan_v1\mr\asset07\grid_search\robust_selection\candidate_02\full\run_20260314_100-full,output\cross_asset_scan_v1\mr\asset07\grid_search\robust_selection\candidate_02\params.json,60.0,2.5,0.25
3,3,-0.5072120737894499,true_pd_ratio,-0.3219669014967237,-0.45075172266392427,-0.5745604824987426,0.12878482116720058,2.6666666666666665,4.0,-0.20335803091600102,-0.3384742047159994,0,0,output\cross_asset_scan_v1\mr\asset07\grid_search\robust_selection\candidate_03\oos\run_20260314_30-oos,output\cross_asset_scan_v1\mr\asset07\grid_search\robust_selection\candidate_03\full\run_20260314_100-full,output\cross_asset_scan_v1\mr\asset07\grid_search\robust_selection\candidate_03\params.json,60.0,2.5,0.5
4,4,-0.5072120737894499,true_pd_ratio,-0.3219669014967237,-0.45075172266392427,-0.5745604824987426,0.12878482116720058,2.6666666666666665,4.0,-0.20335803091600102,-0.3384742047159994,0,0,output\cross_asset_scan_v1\mr\asset07\grid_search\robust_selection\candidate_04\oos\run_20260314_30-oos,output\cross_asset_scan_v1\mr\asset07\grid_search\robust_selection\candidate_04\full\run_20260314_100-full,output\cross_asset_scan_v1\mr\asset07\grid_search\robust_selection\candidate_04\params.json,60.0,2.5,0.75
5,5,-0.5072120737894499,true_pd_ratio,-0.3219669014967237,-0.45075172266392427,-0.5745604824987426,0.12878482116720058,2.6666666666666665,4.0,-0.20335803091600102,-0.3384742047159994,0,0,output\cross_asset_scan_v1\mr\asset07\grid_search\robust_selection\candidate_05\oos\run_20260314_30-oos,output\cross_asset_scan_v1\mr\asset07\grid_search\robust_selection\candidate_05\full\run_20260314_100-full,output\cross_asset_scan_v1\mr\asset07\grid_search\robust_selection\candidate_05\params.json,60.0,2.5,1.0
