Date,Open,High,Low,Close,Volume
2069-12-08,375.0,375.0,367.0,367.5,47830
2069-12-09,335.0,342.0,332.0,341.25,192395
2069-12-10,343.0,343.0,337.0,337.75,120395
2069-12-11,337.75,341.5,335.25,337.75,135990
2069-12-12,337.75,341.0,334.5,338.5,163685
2069-12-13,338.5,340.0,336.0,339.5,122185
2069-12-14,340.0,349.75,338.5,347.75,256630
2069-12-15,348.0,349.0,345.5,348.75,147630
2069-12-16,349.0,350.75,342.5,342.75,200810
2069-12-17,341.75,345.5,341.25,344.5,139270
2069-12-18,344.5,345.0,342.5,343.75,114560
2069-12-19,344.0,346.0,341.25,341.5,148185
2069-12-20,339.75,339.75,333.0,333.5,209525
2069-12-21,333.0,335.5,332.75,334.75,145475
2069-12-22,334.75,335.5,331.0,332.5,175960
2069-12-23,330.75,335.5,330.75,334.25,158915
2069-12-24,325.5,330.5,325.25,330.0,177360
2069-12-25,330.0,330.5,321.25,321.5,225875
2069-12-26,320.25,321.0,311.5,314.5,355125
2069-12-27,315.75,318.75,314.0,314.5,192945
2069-12-28,314.0,316.25,309.5,315.5,249320
2069-12-29,316.5,319.0,312.5,313.5,186025
2069-12-30,313.0,316.25,312.0,314.25,166895
2069-12-31,316.0,316.0,311.5,313.25,160750
2070-01-01,312.75,313.0,309.75,310.5,189270
2070-01-02,310.75,312.5,309.75,312.25,131525
2070-01-03,311.75,311.75,305.75,306.0,278650
2070-01-04,306.0,308.25,303.0,303.25,192685
2070-01-05,303.0,303.0,294.0,296.75,303170
2070-01-06,293.25,299.25,292.5,296.0,291300
2070-01-07,296.0,300.5,292.25,292.75,249665
2070-01-08,293.0,294.0,291.5,292.0,184380
2070-01-09,292.0,293.0,288.0,289.5,197145
2070-01-10,288.0,293.25,288.0,292.75,155235
2070-01-11,293.0,297.25,291.75,296.5,173550
2070-01-12,296.5,297.0,292.75,293.75,133690
2070-01-13,293.5,294.0,289.5,290.0,143935
2070-01-14,289.5,290.0,283.0,283.75,228200
2070-01-15,286.75,288.5,284.75,286.5,151330
2070-01-16,286.5,288.75,282.75,283.25,159715
2070-01-17,283.0,283.75,280.75,283.25,155430
2070-01-18,282.75,285.25,279.5,280.25,217395
2070-01-19,279.5,281.25,278.0,279.0,177780
2070-01-20,279.0,280.0,276.5,279.5,160955
2070-01-21,269.25,269.5,265.5,266.0,180185
2070-01-22,269.0,270.25,267.5,267.75,95325
2070-01-23,267.5,272.25,266.75,271.5,166135
2070-01-24,271.75,274.5,271.0,272.5,145150
2070-01-25,272.0,273.5,271.25,272.5,107150
2070-01-26,273.75,278.25,273.75,274.75,204740
2070-01-27,275.0,275.0,272.25,274.25,156730
2070-01-28,274.0,275.0,273.25,273.5,119330
2070-01-29,270.0,271.0,265.0,265.75,217790
2070-01-30,265.0,267.0,262.25,263.0,237565
2070-01-31,263.0,264.25,262.75,263.25,160290
2070-02-01,263.25,267.5,260.5,267.0,214680
2070-02-02,267.0,268.0,265.5,266.0,138995
2070-02-03,266.0,267.75,264.25,264.5,124315
2070-02-04,264.0,264.5,262.5,263.75,136775
2070-02-05,263.5,265.0,263.0,264.5,128590
2070-02-06,264.25,265.25,262.75,264.25,156450
2070-02-07,264.0,264.5,262.5,262.75,119800
2070-02-08,262.5,264.0,261.75,263.5,141720
2070-02-09,263.5,266.75,263.5,265.5,171970
2070-02-10,265.25,270.0,263.5,264.75,278695
2070-02-11,264.0,266.5,263.25,266.0,133540
2070-02-12,266.0,267.75,264.75,266.75,144930
2070-02-13,266.5,266.5,265.0,266.5,91535
2070-02-14,266.0,267.0,265.0,266.75,53590
2070-02-15,266.75,268.75,264.25,264.5,95210
2070-02-16,263.0,263.0,258.0,258.25,231305
2070-02-17,258.0,259.0,257.75,258.25,112095
2070-02-18,258.25,259.0,256.0,256.5,120080
2070-02-19,256.5,259.0,256.5,257.0,148925
2070-02-20,257.0,258.5,256.75,258.25,122850
2070-02-21,258.0,259.75,257.5,259.25,150490
2070-02-22,259.0,259.5,258.0,258.25,102875
2070-02-23,258.0,270.25,257.75,265.5,300460
2070-02-24,265.5,268.0,265.25,267.25,154415
2070-02-25,267.25,272.5,266.5,270.75,240345
2070-02-26,270.75,274.0,270.25,273.75,191755
2070-02-27,273.75,274.25,271.25,273.5,187985
2070-02-28,273.5,273.5,271.25,273.25,127320
2070-03-01,271.5,272.25,270.5,271.0,126530
2070-03-02,271.0,272.0,269.5,270.5,128530
2070-03-03,270.0,271.5,269.25,270.25,108940
2070-03-04,270.25,273.0,270.25,272.75,109925
2070-03-05,272.0,275.5,271.75,275.0,129745
2070-03-06,275.0,277.25,274.25,274.75,195475
2070-03-07,274.5,277.0,274.0,275.0,125540
2070-03-08,275.0,276.25,273.5,273.75,107330
2070-03-09,273.75,273.75,269.5,270.25,167135
2070-03-10,269.5,269.75,268.25,269.5,125375
2070-03-11,269.5,271.5,268.0,270.5,147670
2070-03-12,270.5,272.75,270.0,272.5,111635
2070-03-13,272.0,273.0,268.5,268.75,138695
2070-03-14,268.5,272.25,268.25,271.0,109545
2070-03-15,271.0,272.25,270.75,272.0,90910
2070-03-16,272.0,272.75,271.0,272.5,82200
2070-03-17,272.0,274.0,271.25,273.75,128535
2070-03-18,273.5,274.75,272.5,274.5,123035
2070-03-19,274.0,276.25,273.5,274.0,145435
2070-03-20,275.0,283.0,275.0,282.75,330615
2070-03-21,282.0,289.25,281.5,283.5,220005
2070-03-22,284.0,289.75,283.25,288.5,233480
2070-03-23,288.25,293.0,287.0,292.75,218305
2070-03-24,292.0,293.75,289.5,289.75,200385
2070-03-25,289.5,294.5,287.5,293.75,217580
2070-03-26,293.5,294.5,291.25,292.0,174315
2070-03-27,291.75,297.75,291.5,295.25,235445
2070-03-28,294.0,295.5,292.25,295.25,169020
2070-03-29,295.5,301.75,295.25,301.25,216650
2070-03-30,301.0,308.0,300.0,301.5,332680
2070-03-31,302.0,302.75,298.0,298.75,196820
2070-04-01,298.25,305.25,296.25,304.5,272620
2070-04-02,304.5,308.25,299.25,304.0,333315
2070-04-03,304.0,313.0,302.0,309.75,274780
2070-04-04,308.25,309.5,304.25,305.75,250465
2070-04-05,305.25,305.75,293.75,294.5,293405
2070-04-06,292.5,299.0,292.0,298.25,265230
2070-04-07,299.25,306.75,299.0,304.5,241300
2070-04-08,305.0,308.0,301.25,306.75,228635
2070-04-09,306.0,306.0,300.0,301.0,203395
2070-04-10,300.25,303.5,299.25,303.25,136620
