run_dir,p_sigma_q_low,p_sigma_q_high,p_mult_mid,p_mult_high,true_pd_ratio,open_pnl_pd_ratio,activity_pct,final_value,bankrupt
run_20260314_IS_001,0.2,0.75,0.5,0.2,-0.9116605637193167,-0.8707400703693089,5.86552217453505,928007.8710000007,0
run_20260314_IS_002,0.2,0.75,0.5,0.3,-0.9116605637193167,-0.8707400703693089,5.86552217453505,928007.8710000007,0
run_20260314_IS_003,0.2,0.75,0.5,0.4,-0.9116605637193167,-0.8707400703693089,5.86552217453505,928007.8710000007,0
run_20260314_IS_004,0.2,0.75,0.5,0.5,-0.9116605637193167,-0.8707400703693089,5.86552217453505,928007.8710000007,0
run_20260314_IS_005,0.2,0.75,0.6,0.2,-0.9169164639965717,-0.8790228575737838,5.86552217453505,923389.3056000001,0
run_20260314_IS_006,0.2,0.75,0.6,0.3,-0.9169164639965717,-0.8790228575737838,5.86552217453505,923389.3056000001,0
run_20260314_IS_007,0.2,0.75,0.6,0.4,-0.9169164639965717,-0.8790228575737838,5.86552217453505,923389.3056000001,0
run_20260314_IS_008,0.2,0.75,0.6,0.5,-0.9169164639965717,-0.8790228575737838,5.86552217453505,923389.3056000001,0
run_20260314_IS_009,0.2,0.75,0.7,0.2,-0.9216171099989621,-0.8863602972143083,5.86552217453505,918779.3432000002,0
run_20260314_IS_010,0.2,0.75,0.7,0.3,-0.9216171099989621,-0.8863602972143083,5.86552217453505,918779.3432000002,0
run_20260314_IS_011,0.2,0.75,0.7,0.4,-0.9216171099989621,-0.8863602972143083,5.86552217453505,918779.3432000002,0
run_20260314_IS_012,0.2,0.75,0.7,0.5,-0.9216171099989621,-0.8863602972143083,5.86552217453505,918779.3432000002,0
run_20260314_IS_013,0.2,0.75,0.8,0.2,-0.9260709850397555,-0.8932148064935275,5.86552217453505,913920.4736000003,0
run_20260314_IS_014,0.2,0.75,0.8,0.3,-0.9260709850397555,-0.8932148064935275,5.86552217453505,913920.4736000003,0
run_20260314_IS_015,0.2,0.75,0.8,0.4,-0.9260709850397555,-0.8932148064935275,5.86552217453505,913920.4736000003,0
run_20260314_IS_016,0.2,0.75,0.8,0.5,-0.9260709850397555,-0.8932148064935275,5.86552217453505,913920.4736000003,0
run_20260314_IS_017,0.2,0.8,0.5,0.2,-0.9116605637193167,-0.8707400703693089,5.86552217453505,928007.8710000007,0
run_20260314_IS_018,0.2,0.8,0.5,0.3,-0.9116605637193167,-0.8707400703693089,5.86552217453505,928007.8710000007,0
run_20260314_IS_019,0.2,0.8,0.5,0.4,-0.9116605637193167,-0.8707400703693089,5.86552217453505,928007.8710000007,0
run_20260314_IS_020,0.2,0.8,0.5,0.5,-0.9116605637193167,-0.8707400703693089,5.86552217453505,928007.8710000007,0
