run_dir,p_lookback,p_entry_z,p_exit_z,true_pd_ratio,open_pnl_pd_ratio,activity_pct,final_value,bankrupt
run_20260314_IS_001,20,1.5,0.0,-0.9526046731070342,-0.7262347947906179,31.857142857142858,914238.2228201395,0
run_20260314_IS_002,20,1.5,0.25,-0.8924205249858391,-0.2870749675319295,27.285714285714285,919469.8602361231,0
run_20260314_IS_003,20,1.5,0.5,-0.7396575242884957,0.22490768476169382,24.285714285714285,943316.4279337139,0
run_20260314_IS_004,20,1.5,0.75,-0.7268235811722878,-0.08142394913289597,21.714285714285715,927634.7090181826,0
run_20260314_IS_005,20,1.5,1.0,-0.7201211673881422,0.2838255208572878,19.142857142857142,944311.7069813367,0
run_20260314_IS_006,20,1.75,0.0,-1.0,-0.759195089502489,23.571428571428573,924264.2347762738,0
run_20260314_IS_007,20,1.75,0.25,-1.0,-0.5400207161866805,20.428571428571427,925916.4342231546,0
run_20260314_IS_008,20,1.75,0.5,-0.834675241711714,0.20397490035935528,17.857142857142858,950440.7588000341,0
run_20260314_IS_009,20,1.75,0.75,-0.788906866974944,-0.1945004910501696,15.428571428571429,936006.1392921094,0
run_20260314_IS_010,20,1.75,1.0,-0.8133290252697298,-0.28956378634714797,13.857142857142858,939823.470494338,0
run_20260314_IS_011,20,2.0,0.0,-0.8420086685688042,-0.4052057075624816,16.428571428571427,954223.6646288172,0
run_20260314_IS_012,20,2.0,0.25,-0.9133537857045687,-0.2589575502286774,14.0,959912.1340746159,0
run_20260314_IS_013,20,2.0,0.5,-0.3620556278376088,1.2105473717175819,11.714285714285714,988411.8830846197,0
run_20260314_IS_014,20,2.0,0.75,-0.5779102839152834,0.25197293426879763,10.285714285714286,972495.2579322226,0
run_20260314_IS_015,20,2.0,1.0,-0.5883393614110464,0.3827244253205215,9.142857142857142,973879.8260053339,0
run_20260314_IS_016,20,2.25,0.0,-0.8324967043493137,-0.6484740783635616,5.714285714285714,961502.5072856913,0
run_20260314_IS_017,20,2.25,0.25,-0.8295306314202202,-0.6434322913103334,5.0,962307.1172288631,0
run_20260314_IS_018,20,2.25,0.5,-0.7614008412159847,-0.4434902592825393,4.714285714285714,975281.7498539684,0
run_20260314_IS_019,20,2.25,0.75,-0.7614008412159847,-0.4434902592825393,4.714285714285714,975281.7498539684,0
run_20260314_IS_020,20,2.25,1.0,-0.7346636403518136,-0.297971023145197,3.857142857142857,978553.0737265135,0
run_20260314_IS_021,20,2.5,0.0,0.11881658013969726,0.40012191422330695,2.2857142857142856,1000974.7612928001,0
run_20260314_IS_022,20,2.5,0.25,0.11881658013969726,0.40012191422330695,2.2857142857142856,1000974.7612928001,0
run_20260314_IS_023,20,2.5,0.5,0.11881658013969726,0.40012191422330695,2.2857142857142856,1000974.7612928001,0
run_20260314_IS_024,20,2.5,0.75,0.11881658013969726,0.40012191422330695,2.2857142857142856,1000974.7612928001,0
run_20260314_IS_025,20,2.5,1.0,0.5206318645273041,0.7977982321250793,1.4285714285714286,1004332.4572952,0
run_20260314_IS_026,30,1.5,0.0,-0.7919703894203776,-0.3313816973336905,30.428571428571427,911304.9268902953,0
run_20260314_IS_027,30,1.5,0.25,-0.7765259144297509,-0.2166239934331172,27.142857142857142,919008.1281747932,0
run_20260314_IS_028,30,1.5,0.5,-0.7593442875945408,-0.03850839642495328,26.428571428571427,926421.939989948,0
run_20260314_IS_029,30,1.5,0.75,-0.8170146227479961,-0.22692412095527736,23.285714285714285,916170.6056799837,0
run_20260314_IS_030,30,1.5,1.0,-0.7355738891081813,-0.2639435311119196,21.285714285714285,908778.9094604417,0
run_20260314_IS_031,30,1.75,0.0,-0.7525361445539923,-0.30556489161057604,20.0,932989.6342607561,0
run_20260314_IS_032,30,1.75,0.25,-0.7529659354548849,-0.3042932866437291,18.857142857142858,932834.7115822665,0
run_20260314_IS_033,30,1.75,0.5,-0.7349989510180024,-0.23540544693315174,18.428571428571427,938882.5078635607,0
run_20260314_IS_034,30,1.75,0.75,-0.7294416778592717,-0.30741976878868105,16.571428571428573,938083.7126475959,0
run_20260314_IS_035,30,1.75,1.0,-0.7662199003963148,-0.48895599056673417,15.571428571428571,919037.9451644713,0
run_20260314_IS_036,30,2.0,0.0,-0.6127001024868717,-0.07005107870531906,13.285714285714286,967818.2505692675,0
run_20260314_IS_037,30,2.0,0.25,-0.6138711915121637,-0.06633876524279123,12.142857142857142,967658.9492390685,0
run_20260314_IS_038,30,2.0,0.5,-0.548755871952756,0.05310364289508779,11.714285714285714,973929.5947098512,0
run_20260314_IS_039,30,2.0,0.75,-0.5273562038843836,0.055777042317680624,10.0,975857.9737114805,0
run_20260314_IS_040,30,2.0,1.0,-0.4958256588853302,-0.11221437507027993,9.714285714285714,969518.2123067912,0
run_20260314_IS_041,30,2.25,0.0,-0.6789864688634794,-0.39868947985417585,9.857142857142858,956972.4261326283,0
run_20260314_IS_042,30,2.25,0.25,-0.6909408948876601,-0.42888367102936636,9.142857142857142,954521.2589953713,0
run_20260314_IS_043,30,2.25,0.5,-0.6588862865335119,-0.3669729081701957,8.714285714285714,960706.5314005862,0
run_20260314_IS_044,30,2.25,0.75,-0.649564168528121,-0.316255297896851,8.428571428571429,960081.4166271496,0
run_20260314_IS_045,30,2.25,1.0,-0.6412745339042971,-0.3893658306717701,7.571428571428571,957240.9673832498,0
run_20260314_IS_046,30,2.5,0.0,-0.6601399196277152,-0.431839654778553,6.714285714285714,961412.900098931,0
run_20260314_IS_047,30,2.5,0.25,-0.6778098685996062,-0.4658909567178382,6.285714285714286,958207.1533918353,0
run_20260314_IS_048,30,2.5,0.5,-0.6417408912684014,-0.4096386504018896,5.857142857142857,964414.8524263194,0
run_20260314_IS_049,30,2.5,0.75,-0.6285918143946653,-0.3783231272119697,5.714285714285714,964489.8491866607,0
run_20260314_IS_050,30,2.5,1.0,-0.5935567158643773,-0.35668638711388423,5.142857142857143,965051.2148743563,0
run_20260314_IS_051,40,1.5,0.0,-0.9367337358572645,-0.6936926760670243,23.142857142857142,902239.7917002918,0
run_20260314_IS_052,40,1.5,0.25,-0.9380342559989782,-0.7049449902073632,22.428571428571427,900101.1232895106,0
run_20260314_IS_053,40,1.5,0.5,-0.9383362901981556,-0.7068367936297101,21.714285714285715,899591.4725884029,0
run_20260314_IS_054,40,1.5,0.75,-0.9490911101079468,-0.7635439138348733,21.0,900664.6703669245,0
run_20260314_IS_055,40,1.5,1.0,-0.8822628009631434,-0.6230049386634308,17.857142857142858,902335.0144698928,0
run_20260314_IS_056,40,1.75,0.0,-0.8100215484415131,-0.2297725687348833,20.142857142857142,932251.880117112,0
run_20260314_IS_057,40,1.75,0.25,-0.8149390629738853,-0.2590314363096429,19.428571428571427,930045.6195562918,0
run_20260314_IS_058,40,1.75,0.5,-0.8160901131641354,-0.276191748753333,18.714285714285715,929511.861750905,0
run_20260314_IS_059,40,1.75,0.75,-0.8875023528946844,-0.2920856892266932,18.0,930625.2081308143,0
run_20260314_IS_060,40,1.75,1.0,-0.8446585596847224,-0.4164667994104192,15.285714285714286,924466.932741588,0
run_20260314_IS_061,40,2.0,0.0,-0.883300815503878,-0.5115626825307774,11.285714285714286,938567.7712936328,0
run_20260314_IS_062,40,2.0,0.25,-0.8899355046499224,-0.5332546484103178,10.571428571428571,936341.6448910648,0
run_20260314_IS_063,40,2.0,0.5,-0.8518097021882218,-0.4676324556750491,10.142857142857142,942061.1915314368,0
run_20260314_IS_064,40,2.0,0.75,-0.673790892991502,-0.1256784878019955,10.285714285714286,960188.3315307333,0
run_20260314_IS_065,40,2.0,1.0,-0.7583765286292573,-0.2850189550076655,8.857142857142858,952213.2678247691,0
run_20260314_IS_066,40,2.25,0.0,-0.8862461357449295,-0.5304862347530899,8.714285714285714,952728.3643761905,0
run_20260314_IS_067,40,2.25,0.25,-0.8947732680093345,-0.5473232018254772,8.0,950469.8377129924,0
run_20260314_IS_068,40,2.25,0.5,-0.844893914794818,-0.4869765935304506,7.571428571428571,956272.9506634435,0
run_20260314_IS_069,40,2.25,0.75,-0.6688052377325826,-0.19380950665140995,8.571428571428571,965260.8052554706,0
run_20260314_IS_070,40,2.25,1.0,-0.7559522395356637,-0.3406589104047622,7.285714285714286,960240.6200729312,0
run_20260314_IS_071,40,2.5,0.0,-0.9453661007744224,-0.7048193995768509,4.428571428571429,962117.5544450994,0
run_20260314_IS_072,40,2.5,0.25,-0.9453661007744224,-0.7048193995768509,4.428571428571429,962117.5544450994,0
run_20260314_IS_073,40,2.5,0.5,-0.9453661007744224,-0.7048193995768509,4.428571428571429,962117.5544450994,0
run_20260314_IS_074,40,2.5,0.75,-0.9453661007744224,-0.7048193995768509,4.428571428571429,962117.5544450994,0
run_20260314_IS_075,40,2.5,1.0,-1.0,-0.9260077994072091,3.2857142857142856,957958.693736134,0
run_20260314_IS_076,50,1.5,0.0,-0.9474227528696458,-0.7765881246066042,22.571428571428573,896034.622335265,0
run_20260314_IS_077,50,1.5,0.25,-0.9460402080625846,-0.7599499543019285,21.285714285714285,898763.3642612732,0
run_20260314_IS_078,50,1.5,0.5,-0.9426763714502511,-0.7269565036021647,20.0,904870.2135494913,0
run_20260314_IS_079,50,1.5,0.75,-0.8220188485468702,0.044608737583662406,19.714285714285715,935741.4246174273,0
run_20260314_IS_080,50,1.5,1.0,-0.7740225893165633,0.25190053493993525,18.285714285714285,952189.1291029513,0
