run_dir,p_sigma_q_low,p_sigma_q_high,p_mult_mid,p_mult_high,true_pd_ratio,open_pnl_pd_ratio,activity_pct,final_value,bankrupt
run_20260314_IS_001,0.2,0.75,0.5,0.2,0.4604712496840911,1.124126547689262,8.857142857142858,1006600.09846,0
run_20260314_IS_002,0.2,0.75,0.5,0.3,0.4604712496840911,1.124126547689262,8.857142857142858,1006600.09846,0
run_20260314_IS_003,0.2,0.75,0.5,0.4,0.4604712496840911,1.124126547689262,8.857142857142858,1006600.09846,0
run_20260314_IS_004,0.2,0.75,0.5,0.5,0.4604712496840911,1.124126547689262,8.857142857142858,1006600.09846,0
run_20260314_IS_005,0.2,0.75,0.6,0.2,0.5231223269430336,1.2235178386537287,8.857142857142858,1007915.4838599998,0
run_20260314_IS_006,0.2,0.75,0.6,0.3,0.5231223269430336,1.2235178386537287,8.857142857142858,1007915.4838599998,0
run_20260314_IS_007,0.2,0.75,0.6,0.4,0.5231223269430336,1.2235178386537287,8.857142857142858,1007915.4838599998,0
run_20260314_IS_008,0.2,0.75,0.6,0.5,0.5231223269430336,1.2235178386537287,8.857142857142858,1007915.4838599998,0
run_20260314_IS_009,0.2,0.75,0.7,0.2,0.5448473207617788,1.3102668405565916,8.857142857142858,1009220.1805399997,0
run_20260314_IS_010,0.2,0.75,0.7,0.3,0.5448473207617788,1.3102668405565916,8.857142857142858,1009220.1805399997,0
run_20260314_IS_011,0.2,0.75,0.7,0.4,0.5448473207617788,1.3102668405565916,8.857142857142858,1009220.1805399997,0
run_20260314_IS_012,0.2,0.75,0.7,0.5,0.5448473207617788,1.3102668405565916,8.857142857142858,1009220.1805399997,0
run_20260314_IS_013,0.2,0.75,0.8,0.2,0.5446326030019816,1.346433427418892,8.857142857142858,1010514.2209799999,0
run_20260314_IS_014,0.2,0.75,0.8,0.3,0.5446326030019816,1.346433427418892,8.857142857142858,1010514.2209799999,0
run_20260314_IS_015,0.2,0.75,0.8,0.4,0.5446326030019816,1.346433427418892,8.857142857142858,1010514.2209799999,0
run_20260314_IS_016,0.2,0.75,0.8,0.5,0.5446326030019816,1.346433427418892,8.857142857142858,1010514.2209799999,0
run_20260314_IS_017,0.2,0.8,0.5,0.2,0.07233045211653252,0.6475443407587199,9.571428571428571,1001429.7011799997,0
