candidate_rank_final,candidate_rank_is,robust_score,metric_key,is_metric,oos_metric,full_metric,is_oos_gap,oos_activity_pct,full_activity_pct,oos_return_pct,full_return_pct,oos_bankrupt,full_bankrupt,oos_run_dir,full_run_dir,params_path,p_ema_short,p_ema_long,p_hurst_min_soft
1,1,0.051943870295028116,true_pd_ratio,1.868821974174349,-0.16431722179647656,1.5731226831606184,2.0331391959708256,22.073578595317727,67.56756756756756,-0.3861454663496633,24.501289640967915,0,0,output\cross_asset_scan_v1\tf\asset03\grid_search\robust_selection\candidate_01\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset03\grid_search\robust_selection\candidate_01\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset03\grid_search\robust_selection\candidate_01\params.json,8.0,70.0,0.6
2,2,0.051557631984588737,true_pd_ratio,1.8589445319024311,-0.16872466004153433,1.579384242684192,2.0276691919439656,22.073578595317727,67.56756756756756,-0.4333011465873171,27.135267954740215,0,0,output\cross_asset_scan_v1\tf\asset03\grid_search\robust_selection\candidate_02\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset03\grid_search\robust_selection\candidate_02\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset03\grid_search\robust_selection\candidate_02\params.json,8.0,70.0,0.55
3,3,0.05092896156626703,true_pd_ratio,1.8529475087294534,-0.17178365277483296,1.5829573091143103,2.0247311615042864,22.073578595317727,67.56756756756756,-0.4710913640035286,29.26158293372765,0,0,output\cross_asset_scan_v1\tf\asset03\grid_search\robust_selection\candidate_03\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset03\grid_search\robust_selection\candidate_03\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset03\grid_search\robust_selection\candidate_03\params.json,8.0,70.0,0.5
4,4,0.05025342346761619,true_pd_ratio,1.849009446122708,-0.17403558273232753,1.5851169523616693,2.0230450288550355,22.073578595317727,67.56756756756756,-0.5020540515275895,31.013926356207943,0,0,output\cross_asset_scan_v1\tf\asset03\grid_search\robust_selection\candidate_04\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset03\grid_search\robust_selection\candidate_04\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset03\grid_search\robust_selection\candidate_04\params.json,8.0,70.0,0.45
5,5,0.04960061198049437,true_pd_ratio,1.8462735810736066,-0.1757649610394616,1.5864728867502593,2.0220385421130684,22.073578595317727,67.56756756756756,-0.5278862938732365,32.482888076020956,0,0,output\cross_asset_scan_v1\tf\asset03\grid_search\robust_selection\candidate_05\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset03\grid_search\robust_selection\candidate_05\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset03\grid_search\robust_selection\candidate_05\params.json,8.0,70.0,0.4
