version,active_leg_count,top_leg,top_series,top_leg_share_pct,second_leg_share_pct,dominance_gap_pct,hhi_concentration,effective_leg_count,meaningful_legs_over_10pct,positive_leg_count,total_abs_leg_pnl
V1,3,tf,series_1,63.64897339602686,23.30296135424044,40.34601204178642,0.4764471829006641,2.098868533363735,3,3,215145.40249999982
V2,3,tf,series_1,84.70529335965614,11.70682763794317,72.99846572171298,0.7324909412225784,1.3652045967024935,2,3,220645.6793750002
V3,2,tf,series_1,99.12796552568244,0.8720344743175507,98.25593105136488,0.9827113993385284,1.0175927547732821,1,2,236797.38483000017
