Index,Open,High,Low,Close,Volume
2069-12-08,99.1172028,99.1952972,99.1172028,99.1875,1441
2069-12-09,99.5781021,99.6016006,99.5,99.5233994,870
2069-12-10,99.4608994,99.4843979,99.4141006,99.4608994,3268
2069-12-11,99.2031021,99.2031021,99.1797028,99.1952972,1014
2069-12-12,99.4843979,99.4922028,99.3983994,99.4452972,852
2069-12-13,99.5625,99.5625,99.3827972,99.4141006,6114
2069-12-14,98.9531021,98.9688034,98.8593979,98.8593979,3066
2069-12-15,99.0547028,99.0938034,99.0391006,99.0625,2518
2069-12-16,98.9218979,98.9218979,98.8516006,98.8593979,1618
2069-12-17,99.0077972,99.0077972,98.8358994,98.8438034,3661
2069-12-18,98.7422028,98.7577972,98.4218979,98.5858994,2388
2069-12-19,98.4452972,98.4452972,98.0938034,98.2968979,2504
2069-12-20,98.4766006,98.4766006,98.3358994,98.3827972,2664
2069-12-21,98.25,98.25,98.1483994,98.1797028,3815
2069-12-22,98.0468979,98.2031021,97.7968979,98.1561966,3036
2069-12-23,98.2811966,98.2811966,98.125,98.1641006,5231
2069-12-24,98.5468979,98.7266006,98.5468979,98.6641006,1368
2069-12-25,98.5391006,98.9061966,98.5311966,98.8516006,3653
2069-12-26,99.3047028,99.3202972,99.2968979,99.3125,772
2069-12-27,98.9218979,98.9218979,98.6327972,98.7108994,2515
2069-12-28,98.4375,98.5,98.4297028,98.4766006,2020
2069-12-29,98.5781021,98.5781021,98.4531021,98.4922028,870
2069-12-30,98.5156021,98.5938034,98.5,98.5156021,1360
2069-12-31,98.8983994,99.0,98.8983994,98.9843979,155
2070-01-01,98.4375,98.7343979,98.4061966,98.6172028,2320
2070-01-02,99.3047028,99.4375,99.2968979,99.4297028,1748
2070-01-03,99.375,99.5468979,99.3672028,99.4766006,1061
2070-01-04,99.1483994,99.1952972,99.0625,99.0702972,824
2070-01-05,99.1172028,99.1327972,99.0077972,99.0311966,832
2070-01-06,99.0311966,99.1172028,98.9452972,99.1093979,1188
2070-01-07,98.9218979,99.0,98.9218979,98.9843979,1139
2070-01-08,99.6483994,99.6952972,99.6016006,99.6172028,861
2070-01-09,99.1952972,99.5077972,99.1952972,99.4922028,3226
2070-01-10,99.5702972,99.5858994,99.5233994,99.5311966,764
2070-01-11,99.4531021,99.5468979,99.4452972,99.4531021,453
2070-01-12,99.4375,99.5077972,99.3983994,99.3983994,2612
2070-01-13,99.0625,99.0625,98.9141006,98.9452972,1593
2070-01-14,99.3516006,99.5468979,99.3516006,99.5156021,1298
2070-01-15,99.5547028,99.6093979,99.5311966,99.5625,854
2070-01-16,99.4922028,99.5468979,99.4218979,99.5,1069
2070-01-17,99.6093979,99.7108994,99.6093979,99.6797028,819
2070-01-18,99.5938034,99.6952972,99.5938034,99.6406021,1031
2070-01-19,99.6641006,99.6797028,99.6406021,99.6406021,202
2070-01-20,99.6406021,99.6406021,99.5468979,99.5468979,527
2070-01-21,100.6327972,100.6483994,100.5702972,100.5781021,377
2070-01-22,100.5781021,100.6641006,100.5702972,100.6016006,542
2070-01-23,100.5,100.625,100.4843979,100.5938034,1114
2070-01-24,100.5938034,100.6327972,100.5625,100.5702972,1002
2070-01-25,100.5625,100.5702972,100.5391006,100.5547028,1767
2070-01-26,100.5547028,100.6406021,100.5547028,100.6016006,7542
2070-01-27,100.625,100.6952972,100.6016006,100.6016006,5339
2070-01-28,100.6641006,100.7422028,100.6327972,100.6483994,6651
2070-01-29,100.7891006,100.7968979,100.7422028,100.7891006,2721
2070-01-30,100.7343979,100.7656021,100.6561966,100.7031021,4276
2070-01-31,100.6797028,100.6952972,100.5781021,100.6016006,3050
2070-02-01,100.5938034,100.6093979,100.4218979,100.4452972,3683
2070-02-02,100.375,100.4218979,100.1952972,100.375,3021
2070-02-03,100.4688034,100.4688034,100.4218979,100.4608994,1328
2070-02-04,100.4218979,100.4375,100.375,100.4061966,2479
2070-02-05,100.2733994,100.2968979,100.1718979,100.1875,3415
2070-02-06,100.1952972,100.2733994,100.1406021,100.1561966,1561
2070-02-07,100.1172028,100.25,100.1016006,100.25,1690
2070-02-08,100.4843979,100.4843979,100.3281021,100.3281021,1959
2070-02-09,100.1406021,100.1561966,100.0468979,100.1172028,2109
2070-02-10,100.2266006,100.25,100.125,100.1327972,345
2070-02-11,100.0156021,100.1641006,99.9922028,100.1641006,2009
2070-02-12,100.1797028,100.1952972,100.0781021,100.1172028,833
2070-02-13,100.1093979,100.1483994,100.0938034,100.1172028,1368
2070-02-14,100.1016006,100.1172028,100.0781021,100.1172028,2071
2070-02-15,100.1483994,100.2266006,100.1406021,100.2266006,844
2070-02-16,100.0938034,100.0938034,100.0468979,100.0468979,2286
2070-02-17,100.4922028,100.4922028,100.3202972,100.3281021,1065
2070-02-18,99.9452972,100.0077972,99.8983994,99.9218979,2168
2070-02-19,99.8827972,99.9297028,99.875,99.8906021,1438
2070-02-20,99.9766006,100.0,99.9218979,99.9297028,1391
2070-02-21,99.875,99.9608994,99.8281021,99.8438034,1718
2070-02-22,99.875,99.9922028,99.8125,99.9766006,1768
2070-02-23,99.9608994,99.9922028,99.6718979,99.7188034,1929
