candidate_rank_final,candidate_rank_is,robust_score,metric_key,is_metric,oos_metric,full_metric,is_oos_gap,oos_activity_pct,full_activity_pct,oos_return_pct,full_return_pct,oos_bankrupt,full_bankrupt,oos_run_dir,full_run_dir,params_path,p_lookback,p_entry_z,p_exit_z
1,1,4.3540130215991475,true_pd_ratio,5.723270928481275,2.9665932810316233,8.969664573314862,2.756677647449652,8.666666666666666,12.2,5.40843084515763,18.362312141714533,0,0,output\cross_asset_scan_v1\mr\asset06\grid_search\robust_selection\candidate_01\oos\run_20260314_30-oos,output\cross_asset_scan_v1\mr\asset06\grid_search\robust_selection\candidate_01\full\run_20260314_100-full,output\cross_asset_scan_v1\mr\asset06\grid_search\robust_selection\candidate_01\params.json,20.0,2.0,0.0
2,2,3.9603222238590936,true_pd_ratio,4.955431750924555,2.6838424412384976,8.074569704816845,2.2715893096860578,7.0,10.7,4.638622403061787,15.715530817708778,0,0,output\cross_asset_scan_v1\mr\asset06\grid_search\robust_selection\candidate_02\oos\run_20260314_30-oos,output\cross_asset_scan_v1\mr\asset06\grid_search\robust_selection\candidate_02\full\run_20260314_100-full,output\cross_asset_scan_v1\mr\asset06\grid_search\robust_selection\candidate_02\params.json,20.0,2.0,0.25
3,3,3.7629526041940493,true_pd_ratio,4.753839412291368,2.427657402096863,8.041732414184738,2.3261820101945054,4.666666666666667,9.5,4.177361760038378,15.395237284898666,0,0,output\cross_asset_scan_v1\mr\asset06\grid_search\robust_selection\candidate_03\oos\run_20260314_30-oos,output\cross_asset_scan_v1\mr\asset06\grid_search\robust_selection\candidate_03\full\run_20260314_100-full,output\cross_asset_scan_v1\mr\asset06\grid_search\robust_selection\candidate_03\params.json,20.0,2.0,0.5
4,4,3.507770827866051,true_pd_ratio,4.709159835379931,2.2164195281045616,7.767294014280544,2.4927403072753695,4.0,8.6,3.686394012783367,14.857031437107304,0,0,output\cross_asset_scan_v1\mr\asset06\grid_search\robust_selection\candidate_04\oos\run_20260314_30-oos,output\cross_asset_scan_v1\mr\asset06\grid_search\robust_selection\candidate_04\full\run_20260314_100-full,output\cross_asset_scan_v1\mr\asset06\grid_search\robust_selection\candidate_04\params.json,20.0,2.0,0.75
5,5,3.0804055627617557,true_pd_ratio,4.640493986189471,2.179916180740794,6.4118363568683385,2.460577805448677,11.0,16.1,4.343597287839973,13.952440465313053,0,0,output\cross_asset_scan_v1\mr\asset06\grid_search\robust_selection\candidate_05\oos\run_20260314_30-oos,output\cross_asset_scan_v1\mr\asset06\grid_search\robust_selection\candidate_05\full\run_20260314_100-full,output\cross_asset_scan_v1\mr\asset06\grid_search\robust_selection\candidate_05\params.json,20.0,1.75,0.25
