run_dir,p_lookback,p_entry_z,p_exit_z,true_pd_ratio,open_pnl_pd_ratio,activity_pct,final_value,bankrupt
run_20260314_IS_001,20,1.5,0.0,-0.9388993758643572,-0.6048932208236135,24.428571428571427,970504.8051959446,0
run_20260314_IS_002,20,1.5,0.25,-0.9437922000583105,-0.7556466204297753,22.571428571428573,967791.908533941,0
run_20260314_IS_003,20,1.5,0.5,-0.916822065177483,-0.26996694459288056,21.571428571428573,974744.1810077798,0
run_20260314_IS_004,20,1.5,0.75,-0.8125557458313812,0.7860740941728048,18.714285714285715,982907.5414955344,0
run_20260314_IS_005,20,1.5,1.0,-0.8422828588781077,0.9098289201181367,16.428571428571427,982770.156470613,0
run_20260314_IS_006,20,1.75,0.0,-0.9485957233005647,-0.8798655731322684,18.285714285714285,966444.6282528396,0
run_20260314_IS_007,20,1.75,0.25,-0.9404435554857291,-0.8381878045777614,17.857142857142858,967521.3177552326,0
run_20260314_IS_008,20,1.75,0.5,-0.9141278031355582,-0.5757177140182053,16.857142857142858,974440.0656887685,0
run_20260314_IS_009,20,1.75,0.75,-0.7991800372081365,0.643762081023724,14.0,982842.9977541562,0
run_20260314_IS_010,20,1.75,1.0,-0.8732346216905873,0.4368422245376793,12.571428571428571,981444.4524569008,0
run_20260314_IS_011,20,2.0,0.0,-0.9656564497569209,-0.7957575673622966,13.714285714285714,974194.1097683943,0
run_20260314_IS_012,20,2.0,0.25,-0.9656564497569209,-0.7957575673622966,13.714285714285714,974194.1097683943,0
run_20260314_IS_013,20,2.0,0.5,-0.9593422143214403,-0.637921294669665,13.0,978296.5936968379,0
run_20260314_IS_014,20,2.0,0.75,-0.8423638781860923,0.5215224095342694,11.142857142857142,986190.4742165623,0
run_20260314_IS_015,20,2.0,1.0,-0.9418858424954341,0.2835496864658998,9.714285714285714,984765.5077881434,0
run_20260314_IS_016,20,2.25,0.0,-0.8512546747752991,-0.0849735621084844,7.142857142857143,988940.0204194837,0
run_20260314_IS_017,20,2.25,0.25,-0.8512546747752991,-0.0849735621084844,7.142857142857143,988940.0204194837,0
run_20260314_IS_018,20,2.25,0.5,-0.8580680050512169,-0.02842487967138661,6.571428571428571,989220.8583734487,0
run_20260314_IS_019,20,2.25,0.75,-0.8580680050512169,-0.02842487967138661,6.571428571428571,989220.8583734487,0
run_20260314_IS_020,20,2.25,1.0,-0.926225482200425,-0.28912340357742067,5.571428571428571,987558.4465963288,0
run_20260314_IS_021,20,2.5,0.0,-0.9282030214760699,-0.3549079432429313,4.857142857142857,987190.6483094088,0
run_20260314_IS_022,20,2.5,0.25,-0.9282030214760699,-0.3549079432429313,4.857142857142857,987190.6483094088,0
run_20260314_IS_023,20,2.5,0.5,-0.9258796593002799,-0.2802095541442029,4.714285714285714,987621.118693074,0
run_20260314_IS_024,20,2.5,0.75,-0.9258796593002799,-0.2802095541442029,4.714285714285714,987621.118693074,0
run_20260314_IS_025,20,2.5,1.0,-0.9271008832705988,-0.33361263484448334,4.571428571428571,987397.8585022711,0
run_20260314_IS_026,30,1.5,0.0,-0.850662634988747,0.025884710070658828,25.428571428571427,980328.5634816109,0
run_20260314_IS_027,30,1.5,0.25,-0.8571244139916925,-0.0845048919656141,23.428571428571427,979285.740791467,0
run_20260314_IS_028,30,1.5,0.5,-0.9159080851066851,-0.3744273863653924,22.571428571428573,977270.0225363942,0
run_20260314_IS_029,30,1.5,0.75,-0.9200237522190985,-0.15857686821732284,21.285714285714285,978438.9888846736,0
run_20260314_IS_030,30,1.5,1.0,-0.9022275071066302,-0.5622013611529676,19.285714285714285,976299.0009060714,0
run_20260314_IS_031,30,1.75,0.0,-0.9823597472830922,-0.8821555387422295,13.0,971543.5085495514,0
run_20260314_IS_032,30,1.75,0.25,-0.9823597472830922,-0.8821555387422295,13.0,971543.5085495514,0
run_20260314_IS_033,30,1.75,0.5,-0.9823597472830922,-0.8821555387422295,13.0,971543.5085495514,0
run_20260314_IS_034,30,1.75,0.75,-0.9823800079247202,-0.8938640890771987,12.428571428571429,971510.1998037698,0
run_20260314_IS_035,30,1.75,1.0,-0.966968964104219,-0.6725249551093123,11.0,978640.5946328113,0
run_20260314_IS_036,30,2.0,0.0,-0.9765308598497148,-0.9641974320731725,7.857142857142857,978583.5918243757,0
run_20260314_IS_037,30,2.0,0.25,-0.9765308598497148,-0.9641974320731725,7.857142857142857,978583.5918243757,0
run_20260314_IS_038,30,2.0,0.5,-0.9765308598497148,-0.9641974320731725,7.857142857142857,978583.5918243757,0
run_20260314_IS_039,30,2.0,0.75,-0.9765308598497148,-0.9641974320731725,7.857142857142857,978583.5918243757,0
run_20260314_IS_040,30,2.0,1.0,-0.9526744969722521,-0.7523105442465452,7.285714285714286,985216.24401193,0
run_20260314_IS_041,30,2.25,0.0,-0.9738785740300457,-0.9588589954773599,7.857142857142857,980768.4850975471,0
run_20260314_IS_042,30,2.25,0.25,-0.9738785740300457,-0.9588589954773599,7.857142857142857,980768.4850975471,0
run_20260314_IS_043,30,2.25,0.5,-0.9738785740300457,-0.9588589954773599,7.857142857142857,980768.4850975471,0
run_20260314_IS_044,30,2.25,0.75,-0.9738785740300457,-0.9588589954773599,7.857142857142857,980768.4850975471,0
run_20260314_IS_045,30,2.25,1.0,-0.9691913184164804,-0.9436769714507613,6.857142857142857,983723.3390617899,0
run_20260314_IS_046,30,2.5,0.0,-0.8298595268701011,-0.10025007870016373,4.714285714285714,991882.5113699901,0
run_20260314_IS_047,30,2.5,0.25,-0.8298595268701011,-0.10025007870016373,4.714285714285714,991882.5113699901,0
run_20260314_IS_048,30,2.5,0.5,-0.8298595268701011,-0.10025007870016373,4.714285714285714,991882.5113699901,0
run_20260314_IS_049,30,2.5,0.75,-0.8298595268701011,-0.10025007870016373,4.714285714285714,991882.5113699901,0
run_20260314_IS_050,30,2.5,1.0,-0.848876099569849,-0.12826577342875983,4.0,991597.2506464999,0
run_20260314_IS_051,40,1.5,0.0,-0.920887109314762,-0.8435433138343207,18.142857142857142,976517.6778916466,0
run_20260314_IS_052,40,1.5,0.25,-0.920887109314762,-0.8435433138343207,18.142857142857142,976517.6778916466,0
run_20260314_IS_053,40,1.5,0.5,-0.920482948231699,-0.8414584708161656,18.0,976646.6342035745,0
run_20260314_IS_054,40,1.5,0.75,-0.9228476188869439,-0.8532028836135119,17.857142857142858,975873.7437021856,0
run_20260314_IS_055,40,1.5,1.0,-0.9015186963429048,-0.61670052309087,16.571428571428573,981507.5052491818,0
