candidate_rank_final,candidate_rank_is,robust_score,metric_key,is_metric,oos_metric,full_metric,is_oos_gap,oos_activity_pct,full_activity_pct,oos_return_pct,full_return_pct,oos_bankrupt,full_bankrupt,oos_run_dir,full_run_dir,params_path,p_ema_short,p_ema_long,p_hurst_min_soft
1,5,0.6634664807864801,true_pd_ratio,0.698498291732632,0.2158497465304697,1.9492297999849189,0.48264854520216227,18.729096989966557,58.55855855855856,0.587654431695106,13.052777795256553,0,0,output\cross_asset_scan_v1\tf\asset06\grid_search\robust_selection\candidate_05\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset06\grid_search\robust_selection\candidate_05\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset06\grid_search\robust_selection\candidate_05\params.json,8.0,40.0,0.5
2,3,0.6347172640039243,true_pd_ratio,0.7080452524481429,0.2159975485787329,1.857753785264076,0.49204770386941,18.729096989966557,58.55855855855856,0.6251189589365547,13.082433499022294,0,0,output\cross_asset_scan_v1\tf\asset06\grid_search\robust_selection\candidate_03\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset06\grid_search\robust_selection\candidate_03\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset06\grid_search\robust_selection\candidate_03\params.json,8.0,40.0,0.45
3,1,0.6126379657684103,true_pd_ratio,0.7151698307465297,0.2161055193995697,1.7874124963025186,0.49906431134696005,18.729096989966557,58.55855855855856,0.6563185349815814,13.104424189928032,0,0,output\cross_asset_scan_v1\tf\asset06\grid_search\robust_selection\candidate_01\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset06\grid_search\robust_selection\candidate_01\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset06\grid_search\robust_selection\candidate_01\params.json,8.0,40.0,0.4
4,2,-0.5216584139347857,true_pd_ratio,0.7148072649910626,-1.0,1.4518755860462456,1.7148072649910626,2.3333333333333335,59.05905905905906,-3.6690797861453683,10.212645725711011,0,0,output\cross_asset_scan_v1\tf\asset06\grid_search\robust_selection\candidate_02\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset06\grid_search\robust_selection\candidate_02\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset06\grid_search\robust_selection\candidate_02\params.json,10.0,40.0,0.4
5,4,-0.5227482194180706,true_pd_ratio,0.7069785233334815,-1.0,1.444328530273172,1.7069785233334815,2.3333333333333335,59.05905905905906,-3.462036811555147,9.7621427020419,0,0,output\cross_asset_scan_v1\tf\asset06\grid_search\robust_selection\candidate_04\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset06\grid_search\robust_selection\candidate_04\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset06\grid_search\robust_selection\candidate_04\params.json,10.0,40.0,0.45
