scan_tag,strategy,asset,asset_tag,data_name,selection_mode,metric_key,grid_config,best_params_path,robust_ranking_path,grid_search_dir,best_runs_dir,is_run_dir,is_true_pd_ratio,is_open_pnl_pd_ratio,is_activity_pct,is_final_value,is_return_pct,is_bankrupt,oos_run_dir,oos_true_pd_ratio,oos_open_pnl_pd_ratio,oos_activity_pct,oos_final_value,oos_return_pct,oos_bankrupt,full_run_dir,full_true_pd_ratio,full_open_pnl_pd_ratio,full_activity_pct,full_final_value,full_return_pct,full_bankrupt,is_oos_gap,part2_data_dir,part2_run_dir,part2_true_pd_ratio,part2_open_pnl_pd_ratio,part2_activity_pct,part2_final_value,part2_return_pct,part2_bankrupt
cross_asset_scan_v1,mr,01,asset01,series_1,robust,true_pd_ratio,configs\grids\single_strat\mr\refined\refined_v1.json,output\cross_asset_scan_v1\mr\asset01\grid_search\best_params.json,output\cross_asset_scan_v1\mr\asset01\grid_search\robust_selection\robust_ranking.csv,output\cross_asset_scan_v1\mr\asset01\grid_search,output\cross_asset_scan_v1\mr\asset01\best_runs,output\cross_asset_scan_v1\mr\asset01\best_runs\run_20260314_70-30,6.818844614623567,5.880016353581656,5.714285714285714,1079011.7800000003,7.901178000000031,False,output\cross_asset_scan_v1\mr\asset01\best_runs\run_20260314_30-oos,-0.19318309379197135,-0.11155779629530213,5.333333333333333,996916.056,-0.3083944000000005,False,output\cross_asset_scan_v1\mr\asset01\best_runs\run_20260314_100-full,4.041757344823954,4.193532611344977,5.6,1075684.2020000003,7.568420200000037,False,7.012027708415538,DATA\PART2,output\cross_asset_scan_v1\mr\asset01\part2_validation\run_20260314_100-full,-0.693755972848626,-0.45251459497490326,5.5,927955.4770193918,-7.204452298060815,False
cross_asset_scan_v1,mr,02,asset02,series_2,robust,true_pd_ratio,configs\grids\single_strat\mr\refined\refined_v1.json,output\cross_asset_scan_v1\mr\asset02\grid_search\best_params.json,output\cross_asset_scan_v1\mr\asset02\grid_search\robust_selection\robust_ranking.csv,output\cross_asset_scan_v1\mr\asset02\grid_search,output\cross_asset_scan_v1\mr\asset02\best_runs,output\cross_asset_scan_v1\mr\asset02\best_runs\run_20260314_70-30,1.0725683245124018,3.2295303168199374,20.285714285714285,1109492.0790826955,10.949207908269543,False,output\cross_asset_scan_v1\mr\asset02\best_runs\run_20260314_30-oos,-0.3776168574222849,0.24386929066565377,17.666666666666668,972287.5172080849,-2.771248279191507,False,output\cross_asset_scan_v1\mr\asset02\best_runs\run_20260314_100-full,0.7330437749606751,3.3654952886787926,20.3,1074832.0504575407,7.48320504575406,False,1.4501851819346867,DATA\PART2,output\cross_asset_scan_v1\mr\asset02\part2_validation\run_20260314_100-full,1.0840321801931407,4.294599569763584,19.2,1085610.9711279827,8.561097112798265,False
cross_asset_scan_v1,mr,03,asset03,series_3,robust,true_pd_ratio,configs\grids\single_strat\mr\refined\refined_v1.json,output\cross_asset_scan_v1\mr\asset03\grid_search\best_params.json,output\cross_asset_scan_v1\mr\asset03\grid_search\robust_selection\robust_ranking.csv,output\cross_asset_scan_v1\mr\asset03\grid_search,output\cross_asset_scan_v1\mr\asset03\best_runs,output\cross_asset_scan_v1\mr\asset03\best_runs\run_20260314_70-30,2.2272727272727195,,0.8571428571428571,1006006.8071,0.60068070999999,False,output\cross_asset_scan_v1\mr\asset03\best_runs\run_20260314_30-oos,0.38986122709890936,1.4544267559391344,3.6666666666666665,1003063.2821400001,0.30632821400000676,False,output\cross_asset_scan_v1\mr\asset03\best_runs\run_20260314_100-full,2.5885665569267924,5.6022406458066225,2.5,1020696.8653200001,2.0696865320000146,False,1.8374115001738103,DATA\PART2,output\cross_asset_scan_v1\mr\asset03\part2_validation\run_20260314_100-full,0.6351779174703586,0.8569476890727322,1.6,1003249.9619400001,0.32499619400001567,False
cross_asset_scan_v1,mr,04,asset04,series_4,robust,true_pd_ratio,configs\grids\single_strat\mr\refined\refined_v1.json,output\cross_asset_scan_v1\mr\asset04\grid_search\best_params.json,output\cross_asset_scan_v1\mr\asset04\grid_search\robust_selection\robust_ranking.csv,output\cross_asset_scan_v1\mr\asset04\grid_search,output\cross_asset_scan_v1\mr\asset04\best_runs,output\cross_asset_scan_v1\mr\asset04\best_runs\run_20260314_70-30,-0.12023370299667799,0.19820832874109653,4.577968526466381,995185.4908277176,-0.4814509172282433,False,output\cross_asset_scan_v1\mr\asset04\best_runs\run_20260314_30-oos,-0.11611785095319364,1.2352941176470686,1.6666666666666667,998463.2880000002,-0.1536711999999829,False,output\cross_asset_scan_v1\mr\asset04\best_runs\run_20260314_100-full,-0.3947671820907075,-0.04995138782173203,4.7,969613.2267514401,-3.0386773248559873,False,0.004115852043484344,DATA\PART2,output\cross_asset_scan_v1\mr\asset04\part2_validation\run_20260314_100-full,0.10891965335519584,1.5163917101546804,7.7,1007719.2004793466,0.7719200479346489,False
cross_asset_scan_v1,mr,05,asset05,series_5,robust,true_pd_ratio,configs\grids\single_strat\mr\refined\refined_v1.json,output\cross_asset_scan_v1\mr\asset05\grid_search\best_params.json,output\cross_asset_scan_v1\mr\asset05\grid_search\robust_selection\robust_ranking.csv,output\cross_asset_scan_v1\mr\asset05\grid_search,output\cross_asset_scan_v1\mr\asset05\best_runs,output\cross_asset_scan_v1\mr\asset05\best_runs\run_20260314_70-30,-0.2562166389954153,0.5564198215824019,5.571428571428571,994088.5882824138,-0.5911411717586246,False,output\cross_asset_scan_v1\mr\asset05\best_runs\run_20260314_30-oos,0.057304999209901154,0.388923088542182,6.0200668896321075,1001994.810597894,0.199481059789397,False,output\cross_asset_scan_v1\mr\asset05\best_runs\run_20260314_100-full,-0.09241438250096641,0.7168114287311477,5.7057057057057055,996074.7671827746,-0.39252328172253437,False,0.3135216382053165,DATA\PART2,output\cross_asset_scan_v1\mr\asset05\part2_validation\run_20260314_100-full,-0.9863886478372313,-0.9526629062162315,7.6,929174.0402019691,-7.082595979803086,False
cross_asset_scan_v1,mr,06,asset06,series_6,robust,true_pd_ratio,configs\grids\single_strat\mr\refined\refined_v1.json,output\cross_asset_scan_v1\mr\asset06\grid_search\best_params.json,output\cross_asset_scan_v1\mr\asset06\grid_search\robust_selection\robust_ranking.csv,output\cross_asset_scan_v1\mr\asset06\grid_search,output\cross_asset_scan_v1\mr\asset06\best_runs,output\cross_asset_scan_v1\mr\asset06\best_runs\run_20260314_70-30,5.723270928481275,5.32936088651369,11.301859799713878,1112609.6845999998,11.260968459999976,False,output\cross_asset_scan_v1\mr\asset06\best_runs\run_20260314_30-oos,2.9665932810316233,5.578461576685097,8.666666666666666,1054084.3084515764,5.40843084515763,False,output\cross_asset_scan_v1\mr\asset06\best_runs\run_20260314_100-full,8.969664573314862,8.975420332824113,12.2,1183623.1214171452,18.362312141714533,False,2.756677647449652,DATA\PART2,output\cross_asset_scan_v1\mr\asset06\part2_validation\run_20260314_100-full,-0.5799008431516425,-0.21225385929433171,11.911911911911911,948093.7062790659,-5.190629372093403,False
cross_asset_scan_v1,mr,07,asset07,series_7,robust,true_pd_ratio,configs\grids\single_strat\mr\refined\refined_v1.json,output\cross_asset_scan_v1\mr\asset07\grid_search\best_params.json,output\cross_asset_scan_v1\mr\asset07\grid_search\robust_selection\robust_ranking.csv,output\cross_asset_scan_v1\mr\asset07\grid_search,output\cross_asset_scan_v1\mr\asset07\best_runs,output\cross_asset_scan_v1\mr\asset07\best_runs\run_20260314_70-30,-0.3219669014967237,0.29048603798623424,4.571428571428571,998645.9540656199,-0.13540459343801547,False,output\cross_asset_scan_v1\mr\asset07\best_runs\run_20260314_30-oos,-0.45075172266392427,-0.4813923971126193,2.6666666666666665,997966.41969084,-0.20335803091600102,False,output\cross_asset_scan_v1\mr\asset07\best_runs\run_20260314_100-full,-0.5745604824987426,-0.18906189381178679,4.0,996615.25795284,-0.3384742047159994,False,0.12878482116720058,DATA\PART2,output\cross_asset_scan_v1\mr\asset07\part2_validation\run_20260314_100-full,-0.4457556006227282,0.041252560403251204,4.9,996641.536332914,-0.33584636670860313,False
cross_asset_scan_v1,mr,08,asset08,series_8,robust,true_pd_ratio,configs\grids\single_strat\mr\refined\refined_v1.json,output\cross_asset_scan_v1\mr\asset08\grid_search\best_params.json,output\cross_asset_scan_v1\mr\asset08\grid_search\robust_selection\robust_ranking.csv,output\cross_asset_scan_v1\mr\asset08\grid_search,output\cross_asset_scan_v1\mr\asset08\best_runs,output\cross_asset_scan_v1\mr\asset08\best_runs\run_20260314_70-30,0.5206318645273041,0.7977982321250793,1.4285714285714286,1004332.4572952,0.4332457295199932,False,output\cross_asset_scan_v1\mr\asset08\best_runs\run_20260314_30-oos,,,0.0,1000000.0,0.0,False,output\cross_asset_scan_v1\mr\asset08\best_runs\run_20260314_100-full,0.5206318645273041,0.7977982321250793,1.0,1004332.4572952,0.4332457295199932,False,0.5206318645273041,DATA\PART2,output\cross_asset_scan_v1\mr\asset08\part2_validation\run_20260314_100-full,-1.0,-0.7833333333333333,0.5,989960.8424895705,-1.0039157510429497,False
cross_asset_scan_v1,mr,09,asset09,series_9,robust,true_pd_ratio,configs\grids\single_strat\mr\refined\refined_v1.json,output\cross_asset_scan_v1\mr\asset09\grid_search\best_params.json,output\cross_asset_scan_v1\mr\asset09\grid_search\robust_selection\robust_ranking.csv,output\cross_asset_scan_v1\mr\asset09\grid_search,output\cross_asset_scan_v1\mr\asset09\best_runs,output\cross_asset_scan_v1\mr\asset09\best_runs\run_20260314_70-30,2.8669951602442523,3.856697075377702,4.0,1039749.6358800002,3.9749635880000245,False,output\cross_asset_scan_v1\mr\asset09\best_runs\run_20260314_30-oos,2.351005628774999,2.6500414470000164,6.688963210702341,1021162.6533400003,2.1162653340000226,False,output\cross_asset_scan_v1\mr\asset09\best_runs\run_20260314_100-full,4.454026451738292,6.399206730013308,4.804804804804805,1061753.13168,6.175313168000018,False,0.5159895314692533,DATA\PART2,output\cross_asset_scan_v1\mr\asset09\part2_validation\run_20260314_100-full,-0.12612312201629103,0.5343199787207067,1.8,995541.2506018733,-0.4458749398126738,False
cross_asset_scan_v1,mr,10,asset10,series_10,robust,true_pd_ratio,configs\grids\single_strat\mr\refined\refined_v1.json,output\cross_asset_scan_v1\mr\asset10\grid_search\best_params.json,output\cross_asset_scan_v1\mr\asset10\grid_search\robust_selection\robust_ranking.csv,output\cross_asset_scan_v1\mr\asset10\grid_search,output\cross_asset_scan_v1\mr\asset10\best_runs,output\cross_asset_scan_v1\mr\asset10\best_runs\run_20260314_70-30,3.4628072476440233,3.421632420091324,5.714285714285714,1071285.3499999999,7.128534999999991,False,output\cross_asset_scan_v1\mr\asset10\best_runs\run_20260314_30-oos,1.2131497633668438,1.555475156777617,5.333333333333333,1015508.3,1.550830000000003,False,output\cross_asset_scan_v1\mr\asset10\best_runs\run_20260314_100-full,4.270006314971333,4.368207762557078,5.6,1087902.3499999999,8.79023499999998,False,2.2496574842771793,DATA\PART2,output\cross_asset_scan_v1\mr\asset10\part2_validation\run_20260314_100-full,-0.8983119392407296,-0.8492423659718483,3.9,910043.417005035,-8.995658299496501,False
