asset,asset_tag,winner_strategy,winner_score,winner_oos_true_pd_ratio,winner_full_true_pd_ratio,winner_full_return_pct,winner_part2_true_pd_ratio,runner_up_strategy,runner_up_score,runner_up_oos_true_pd_ratio,runner_up_part2_true_pd_ratio
01,asset01,tf,9.90973029796637,0.7037229609654372,2.7616578348846286,411.9713547395656,0.8958936977560925,mr,1.372800380896413,-0.19318309379197135,-0.693755972848626
02,asset02,mr,0.028612564729032564,-0.3776168574222849,0.7330437749606751,7.48320504575406,1.0840321801931407,garch,-0.0066022845317502965,0.13702761680419537,0.07293272309980918
03,asset03,mr,1.3372532526632868,0.38986122709890936,2.5885665569267924,2.0696865320000146,0.6351779174703586,tf,0.8763015101290982,-0.16431722179647656,-0.41586868994399073
04,asset04,garch,3.079406230606809,1.9021372481205416,2.3301780413893334,18.085333400000025,0.3140977032227782,tf,-0.1458009770416603,-0.1722018272877921,-0.8180665706264395
05,asset05,garch,4.046229617075884,2.8394132753994232,3.0966535247898883,6.149380399999971,-0.9103284807429287,mr,0.017109499700112225,0.057304999209901154,-0.9863886478372313
06,asset06,mr,6.4732221245261155,2.9665932810316233,8.969664573314862,18.362312141714533,-0.5799008431516425,tf,1.1591357324303224,0.2158497465304697,-0.5368186670854903
07,asset07,tf,0.2563515884803298,-0.015222858725333438,0.7492985514063094,0.46599771067274975,1.47768372398933,garch,-0.2839012645299147,-0.5051212992931613,-0.6418936863868218
08,asset08,tf,0.44717256478630574,-0.1985054000470041,0.2727003919937412,27.51164138177502,0.10256276992335617,mr,0.1908860671749563,,-1.0
09,asset09,mr,4.033421150243401,2.351005628774999,4.454026451738292,6.175313168000018,-0.12612312201629103,garch,1.4632338505130011,1.5070990058512854,1.0070136191273977
10,asset10,mr,2.88345667360681,1.2131497633668438,4.270006314971333,8.79023499999998,-0.8983119392407296,tf,0.13297071647769243,-0.5419665682844658,-0.8865634876984427
