strategy,asset01,asset02,asset03,asset04,asset05,asset06,asset07,asset08,asset09,asset10
tf,0.7037229609654372,-0.7351170245666467,-0.16431722179647656,-0.1722018272877921,-1.0,0.2158497465304697,-0.015222858725333438,-0.1985054000470041,-0.20167070241367357,-0.5419665682844658
mr,-0.19318309379197135,-0.3776168574222849,0.38986122709890936,-0.11611785095319364,0.057304999209901154,2.9665932810316233,-0.45075172266392427,,2.351005628774999,1.2131497633668438
garch,0.2720580649950188,0.13702761680419537,-0.9311685209014546,1.9021372481205416,2.8394132753994232,-0.46857142857143325,-0.5051212992931613,-0.38056983156669894,1.5070990058512854,-0.955839492911261
