strategy_family,asset,asset_tag,data_name,selection_context,family_oos_rank,oos_true_pd_ratio,full_true_pd_ratio,part2_true_pd_ratio,part2_return_pct,oos_to_part2_true_pd_delta,part2_bankrupt,source_ref,source_path
tf,01,asset01,series_1,selected in V2 and V3,1,0.7037229609654372,2.7616578348846286,0.8958936977560925,166.73960674820466,0.19217073679065533,False,summary/coursework_3/stage-2-v3-archive-summary,output/cross_asset_scan_v1/summaries/cross_asset_long.csv
mr,10,asset10,series_10,selected in V2 only,3,1.2131497633668438,4.270006314971333,-0.8983119392407296,-8.995658299496501,-2.1114617026075733,False,summary/coursework_3/stage-2-v3-archive-summary,output/cross_asset_scan_v1/summaries/cross_asset_long.csv
mr,09,asset09,series_9,selected in V3 only,2,2.351005628774999,4.454026451738292,-0.12612312201629103,-0.4458749398126738,-2.47712875079129,False,summary/coursework_3/stage-2-v3-archive-summary,output/cross_asset_scan_v1/summaries/cross_asset_long.csv
mr,06,asset06,series_6,highest OOS MR candidate but weak Part 2 transfer,1,2.9665932810316233,8.969664573314862,-0.5799008431516425,-5.190629372093403,-3.546494124183266,False,summary/coursework_3/stage-2-v3-archive-summary,output/cross_asset_scan_v1/summaries/cross_asset_long.csv
garch,07,asset07,series_7,selected in V2 only,8,-0.5051212992931613,0.6118786972706464,-0.6418936863868218,-1.075332551120023,-0.13677238709366046,False,summary/coursework_3/stage-2-v3-archive-summary,output/cross_asset_scan_v1/summaries/cross_asset_long.csv
garch,05,asset05,series_5,highest OOS GARCH candidate but weak Part 2 transfer,1,2.8394132753994232,3.0966535247898883,-0.9103284807429287,-7.8961450000000095,-3.749741756142352,False,summary/coursework_3/stage-2-v3-archive-summary,output/cross_asset_scan_v1/summaries/cross_asset_long.csv
garch,09,asset09,series_9,positive Part 2 GARCH alternative but not deployed,3,1.5070990058512854,-0.11007219216652728,1.0070136191273977,7.6303002549999555,-0.5000853867238877,False,summary/coursework_3/stage-2-v3-archive-summary,output/cross_asset_scan_v1/summaries/cross_asset_long.csv
