candidate_rank_final,candidate_rank_is,robust_score,metric_key,is_metric,oos_metric,full_metric,is_oos_gap,oos_activity_pct,full_activity_pct,oos_return_pct,full_return_pct,oos_bankrupt,full_bankrupt,oos_run_dir,full_run_dir,params_path,p_lookback,p_entry_z,p_exit_z
1,3,-0.2619464449975999,true_pd_ratio,1.0725683245124018,-0.3776168574222849,0.7330437749606751,1.4501851819346867,17.666666666666668,20.3,-2.771248279191507,7.48320504575406,0,0,output\cross_asset_scan_v1\mr\asset02\grid_search\robust_selection\candidate_03\oos\run_20260314_30-oos,output\cross_asset_scan_v1\mr\asset02\grid_search\robust_selection\candidate_03\full\run_20260314_100-full,output\cross_asset_scan_v1\mr\asset02\grid_search\robust_selection\candidate_03\params.json,20.0,1.75,0.0
2,1,-0.8052607498396058,true_pd_ratio,1.2386908143995385,-0.8718815773521835,0.40547404356560324,2.110572391751722,22.333333333333332,22.8,-5.502805062939875,3.252116257168103,0,0,output\cross_asset_scan_v1\mr\asset02\grid_search\robust_selection\candidate_01\oos\run_20260314_30-oos,output\cross_asset_scan_v1\mr\asset02\grid_search\robust_selection\candidate_01\full\run_20260314_100-full,output\cross_asset_scan_v1\mr\asset02\grid_search\robust_selection\candidate_01\params.json,60.0,1.5,0.75
3,2,-0.8289725935065464,true_pd_ratio,1.1626485926050867,-0.9082408040059852,0.391431262631013,2.0708893966110717,18.0,18.6,-5.719891852732262,3.177066924360661,0,0,output\cross_asset_scan_v1\mr\asset02\grid_search\robust_selection\candidate_02\oos\run_20260314_30-oos,output\cross_asset_scan_v1\mr\asset02\grid_search\robust_selection\candidate_02\full\run_20260314_100-full,output\cross_asset_scan_v1\mr\asset02\grid_search\robust_selection\candidate_02\params.json,60.0,1.75,0.0
4,4,-0.881470131248788,true_pd_ratio,1.058182698551959,-0.9082408040059852,0.16420652313031056,1.966423502557944,18.0,17.0,-5.719891852732262,1.2505153562833993,0,0,output\cross_asset_scan_v1\mr\asset02\grid_search\robust_selection\candidate_04\oos\run_20260314_30-oos,output\cross_asset_scan_v1\mr\asset02\grid_search\robust_selection\candidate_04\full\run_20260314_100-full,output\cross_asset_scan_v1\mr\asset02\grid_search\robust_selection\candidate_04\params.json,60.0,1.75,0.75
5,5,-1.0451820334008812,true_pd_ratio,0.9951103283284773,-1.0,-0.15305161383869859,1.9951103283284772,5.333333333333333,3.7,-2.740113174543435,-0.43530778039350126,0,0,output\cross_asset_scan_v1\mr\asset02\grid_search\robust_selection\candidate_05\oos\run_20260314_30-oos,output\cross_asset_scan_v1\mr\asset02\grid_search\robust_selection\candidate_05\full\run_20260314_100-full,output\cross_asset_scan_v1\mr\asset02\grid_search\robust_selection\candidate_05\params.json,40.0,2.5,0.0
