"Index","Open","High","Low","Close","Volume"
2075-05-31,0.8318,0.833,0.829,0.8301,16801
2075-06-01,0.8291,0.8333,0.8256,0.8282,21277
2075-06-02,0.8261,0.8288,0.8196,0.8204,22476
2075-06-03,0.8208,0.8262,0.8193,0.8233,17313
2075-06-04,0.823,0.8232,0.8185,0.8218,18548
2075-06-05,0.821,0.8249,0.8178,0.8201,31763
2075-06-06,0.82,0.827,0.8176,0.8228,27766
2075-06-07,0.8225,0.826,0.8188,0.8215,21214
2075-06-08,0.8213,0.8239,0.8197,0.8217,11001
2075-06-09,0.8223,0.8229,0.8133,0.8141,24474
2075-06-10,0.8139,0.8143,0.8056,0.8098,27648
2075-06-11,0.8102,0.8147,0.8086,0.8125,21159
2075-06-12,0.8136,0.8195,0.813,0.8181,26435
2075-06-13,0.819,0.8283,0.8168,0.8274,17284
2075-06-14,0.8263,0.8298,0.8216,0.8234,25548
2075-06-15,0.8214,0.828,0.8213,0.8236,17113
2075-06-16,0.823,0.8273,0.8221,0.8247,19186
2075-06-17,0.8258,0.8264,0.8178,0.8233,23710
2075-06-18,0.8231,0.8271,0.8212,0.8249,12763
2075-06-19,0.8239,0.8265,0.8218,0.8247,10055
2075-06-20,0.8255,0.8278,0.8228,0.8269,18730
2075-06-21,0.8272,0.8343,0.8262,0.8331,21231
2075-06-22,0.8327,0.8395,0.831,0.8372,19868
2075-06-23,0.8375,0.8383,0.8332,0.8347,14366
2075-06-24,0.8342,0.8362,0.8309,0.8346,15460
2075-06-25,0.8351,0.8354,0.8246,0.8255,23687
2075-06-26,0.8244,0.8267,0.8191,0.8208,18247
2075-06-27,0.8208,0.8274,0.8191,0.8253,14884
2075-06-28,0.8265,0.833,0.8248,0.8316,17264
2075-06-29,0.8326,0.8365,0.8306,0.8358,17030
2075-06-30,0.8356,0.8414,0.8323,0.8402,21024
2075-07-01,0.8403,0.8435,0.8387,0.8405,21421
2075-07-02,0.8395,0.8404,0.8334,0.835,18474
2075-07-03,0.8353,0.8424,0.8333,0.8336,20448
2075-07-04,0.8346,0.841,0.8316,0.8392,31056
2075-07-05,0.84,0.8453,0.8382,0.8431,31877
2075-07-06,0.8421,0.8474,0.8402,0.8455,32751
2075-07-07,0.8457,0.8464,0.8395,0.8418,25419
2075-07-08,0.8421,0.845,0.8376,0.8412,30721
2075-07-09,0.8407,0.8449,0.838,0.8412,34805
2075-07-10,0.8418,0.8472,0.8412,0.8464,22684
2075-07-11,0.8465,0.8529,0.8455,0.8496,30781
2075-07-12,0.85,0.8503,0.8418,0.8433,34856
2075-07-13,0.8423,0.8492,0.8418,0.8477,20897
2075-07-14,0.8459,0.8488,0.8449,0.8471,13217
2075-07-15,0.8468,0.8468,0.8407,0.8434,6814
2075-07-16,0.8455,0.8509,0.8452,0.8501,25557
2075-07-17,0.8485,0.8596,0.8473,0.8578,33407
2075-07-18,0.8584,0.8601,0.8557,0.8572,20517
2075-07-19,0.8571,0.8608,0.8548,0.8567,18789
2075-07-20,0.8589,0.8625,0.8557,0.8566,23981
2075-07-21,0.8551,0.858,0.8513,0.8563,24390
2075-07-22,0.8543,0.8572,0.8495,0.8559,30371
2075-07-23,0.8548,0.8571,0.8486,0.8515,26996
2075-07-24,0.8509,0.8549,0.8481,0.8532,24730
