"Index","Open","High","Low","Close","Volume"
2075-05-31,116.625,116.65625,116.25,116.4375,161307
2075-06-01,116.375,116.8125,116,116.1875,256052
2075-06-02,116.21875,116.53125,115.90625,116.46875,175018
2075-06-03,116.46875,116.625,115.4375,115.65625,165463
2075-06-04,115.71875,116.21875,115.34375,116.0625,247536
2075-06-05,116.0625,116.65625,115.4375,116.5,324830
2075-06-06,116.4375,116.6875,114.90625,115.09375,494678
2075-06-07,115.15625,115.96875,114.96875,115.90625,215828
2075-06-08,115.84375,116.09375,115.46875,115.5625,154273
2075-06-09,115.53125,115.8125,115.46875,115.78125,188646
2075-06-10,115.8125,115.96875,115.28125,115.46875,230438
2075-06-11,115.5,116.46875,115.40625,116.375,288658
2075-06-12,116.3125,116.40625,115.03125,115.34375,368698
2075-06-13,115.375,115.40625,114.4375,114.96875,293090
2075-06-14,115.03125,115.09375,114.5625,114.65625,223386
2075-06-15,114.625,115.25,114.59375,115.15625,226000
2075-06-16,115.15625,115.375,114.75,114.90625,158759
2075-06-17,114.9375,115.1875,114.03125,114.1875,300117
2075-06-18,114.1875,114.28125,113.84375,113.9375,153010
2075-06-19,113.90625,114.3125,113.75,114.25,208624
2075-06-20,114.25,114.59375,114,114.21875,203581
2075-06-21,114.21875,115.0625,114.03125,114.90625,286590
2075-06-22,115,116,114.875,115.96875,237564
2075-06-23,115.84375,115.96875,115.4375,115.65625,161135
2075-06-24,115.5,116.5,115.46875,116.15625,363911
2075-06-25,116.28125,116.375,115.5,115.59375,302785
2075-06-26,115.59375,116.40625,115.59375,116.25,254394
2075-06-27,116.3125,116.40625,115.875,116.25,169445
2075-06-28,116.3125,116.375,115.6875,116.25,227753
2075-06-29,116.21875,116.75,116,116.53125,224486
2075-06-30,116.59375,116.96875,116.34375,116.59375,336523
2075-07-01,116.625,117.09375,116.5,117,292329
2075-07-02,117,117.28125,116.53125,116.6875,336596
2075-07-03,117.09375,117.3125,116.78125,116.90625,270226
2075-07-04,116.9375,117.75,116.71875,117.6875,490072
2075-07-05,117.25,118.1875,117.125,118.03125,458157
2075-07-06,118.03125,118.3125,117.5625,117.875,556394
2075-07-07,117.625,118,117.25,117.71875,336547
2075-07-08,117.6875,117.71875,117,117.125,237024
2075-07-09,117.0625,117.125,115.90625,116.28125,400007
2075-07-10,116.28125,116.6875,116.125,116.28125,243505
2075-07-11,116.15625,116.84375,116.15625,116.53125,154232
2075-07-12,116.46875,116.625,115.625,115.96875,269294
2075-07-13,115.96875,116.65625,115.65625,116.3125,279057
2075-07-14,116.34375,116.65625,115.875,115.9375,254778
2075-07-15,115.96875,116.3125,114.9375,115.28125,446987
2075-07-16,115.21875,115.34375,114.4375,114.75,335452
2075-07-17,114.625,115,114.5625,114.84375,164801
2075-07-18,114.8125,115.28125,114,115.0625,299410
2075-07-19,115.03125,115.9375,114.9375,115.71875,275979
2075-07-20,115.96875,116.3125,115.625,115.875,262870
2075-07-21,115.8125,115.875,114.96875,115.15625,235756
2075-07-22,114.90625,115.0625,114.46875,114.65625,202536
2075-07-23,114.625,115,114.28125,114.5625,307988
2075-07-24,114.8125,115.34375,114.3125,115.15625,283204
2075-07-25,115.15625,115.40625,114.5625,114.78125,277039
2075-07-26,114.6875,114.96875,114.21875,114.40625,301029
2075-07-27,114.34375,114.6875,113.5625,113.75,291256
2075-07-28,113.78125,114.15625,113.5625,113.9375,193426
2075-07-29,113.96875,114.5,113.90625,114.1875,254792
2075-07-30,114.34375,114.5,113.78125,114.125,247990
2075-07-31,113.90625,114.375,113.21875,114.25,385922
2075-08-01,114.28125,114.5,113.75,114,253090
2075-08-02,113.84375,113.9375,113.0625,113.21875,318547
2075-08-03,113.1875,113.21875,112.4375,112.71875,306052
2075-08-04,112.78125,113.3125,112.15625,112.625,412321
2075-08-05,112.65625,112.9375,112.4375,112.59375,204247
2075-08-06,112.53125,112.90625,112.3125,112.6875,257734
2075-08-07,112.78125,113.28125,112.75,112.8125,267068
2075-08-08,112.75,113.15625,112.375,112.90625,282110
2075-08-09,113.0625,113.90625,112.9375,113.71875,267166
2075-08-10,113.75,113.84375,112.8125,113.09375,337765
2075-08-11,113.0625,113.375,112.125,112.4375,389619
2075-08-12,112.1875,112.3125,111.3125,111.46875,463920
2075-08-13,111.4375,112,111.4375,111.8125,287905
2075-08-14,111.875,112.125,111.34375,111.8125,298270
2075-08-15,111.6875,112.25,111.53125,111.96875,219066
2075-08-16,111.96875,112.34375,111.625,111.78125,292817
2075-08-17,111.84375,111.96875,111.21875,111.375,307260
2075-08-18,111.40625,111.65625,110.65625,110.78125,331027
2075-08-19,110.75,111.28125,110.375,110.65625,408387
2075-08-20,110.59375,111.09375,110.53125,110.90625,173344
2075-08-21,110.96875,111.90625,110.96875,111.75,280758
2075-08-22,111.78125,111.90625,110.78125,111,340730
2075-08-23,110.84375,112,110.84375,111.9375,365310
2075-08-24,111.9375,111.9375,111.9375,111.9375,398359
2075-08-25,111.96875,112.15625,111.03125,111.3125,345477
2075-08-26,111.25,112.09375,111.125,111.9375,418989
