"Index","Open","High","Low","Close","Volume"
2075-05-31,103.5234375,103.546875,103.46875,103.515625,56368
2075-06-01,103.5078125,103.578125,103.484375,103.515625,40746
2075-06-02,103.5234375,103.578125,103.46875,103.4921875,65347
2075-06-03,103.484375,103.5,103.4375,103.4375,25388
2075-06-04,103.4453125,103.5234375,103.3984375,103.515625,57899
2075-06-05,103.5078125,103.5390625,103.390625,103.4765625,95397
2075-06-06,103.4609375,103.5078125,103.3359375,103.359375,95988
2075-06-07,103.3671875,103.453125,103.3515625,103.421875,32615
2075-06-08,103.4140625,103.4453125,103.359375,103.359375,22964
2075-06-09,103.3671875,103.3984375,103.3515625,103.390625,22534
2075-06-10,103.390625,103.3984375,103.2890625,103.3046875,37229
2075-06-11,103.3046875,103.3671875,103.265625,103.359375,39979
2075-06-12,103.359375,103.3671875,103.2265625,103.25,58030
2075-06-13,103.25,103.25,103.171875,103.203125,51769
2075-06-14,103.2109375,103.234375,103.171875,103.1875,35788
2075-06-15,103.1953125,103.2578125,103.1875,103.2421875,30896
2075-06-16,103.2421875,103.2734375,103.2109375,103.2265625,34301
2075-06-17,103.2109375,103.234375,103.078125,103.0859375,59051
2075-06-18,103.0859375,103.09375,102.984375,103.0234375,28106
2075-06-19,102.9921875,103.09375,102.9765625,103.0703125,38324
2075-06-20,103.0859375,103.125,103.0234375,103.0703125,46370
2075-06-21,103.0703125,103.1640625,103.0234375,103.15625,50180
2075-06-22,103.15625,103.25,103.140625,103.25,53914
2075-06-23,103.234375,103.25,103.171875,103.203125,26793
2075-06-24,103.1796875,103.3046875,103.1640625,103.2734375,55584
2075-06-25,103.296875,103.3046875,103.203125,103.21875,49759
2075-06-26,103.21875,103.3203125,103.2109375,103.3046875,38719
2075-06-27,103.3125,103.3125,103.21875,103.2890625,43079
2075-06-28,103.2734375,103.3125,103.21875,103.296875,39049
2075-06-29,103.296875,103.3828125,103.2578125,103.359375,45214
2075-06-30,103.359375,103.4140625,103.3125,103.3515625,84568
