closed_trades,cum_open_open_pnl,current_peak_date,date,drawdown_abs,drawdown_pct,equity,filled_orders,ga_bull,ga_cooldown,ga_mult,ga_pos_pct,ga_pos_size,ga_sigma_ann,ga_stop,ga_target_pct,mr09_active_weight,mr09_atr_pct,mr09_atr_q,mr09_cooldown,mr09_freeze,mr09_loss_streak,mr09_perf_ema,mr09_pos_pct,mr09_pos_size,mr09_signal_strength,mr09_stop,mr09_z_score,mr_pos_pct,mr_pos_size,mr_stop,mr_target_pct,mr_z_score,portfolio_cum_open_open_pnl,running_peak_equity,submitted_orders,tf_active_weight,tf_cooldown,tf_freeze,tf_hot_score,tf_loss_streak,tf_perf_ema,tf_pos_pct,tf_pos_size,tf_score,tf_signal_strength,tf_stop,tf_target_pct,tf_trend_up,version
,0.0,2075-10-03,2075-10-03,0.0,0.0,1000000.0,,,,,,,,,,0.3500325207761965,0.006633698743555768,0.007729293826831203,0,0,0,0.0,0.0,0.0,0.04909137004915639,,0.1656833739159028,,,,,,0.0,1000000.0,,0.6499674792238035,0,0,0.0,0,0.0,0.0,0.0,0.16157078259097202,0.09694246955458322,,,,V3
,0.0,2075-10-04,2075-10-04,0.0,0.0,1000000.0,,,,,,,,,,0.5243676141922451,0.006854132713041215,0.007727974936090953,0,0,0,0.0,0.0,0.0,0.38699479231761047,,1.3061074240719353,,,,,,0.0,1000000.0,,0.4756323858077549,0,0,0.0,0,0.0,0.0,0.0,0.12813426968384273,0.07688056181030564,,,,V3
,0.0,2075-10-05,2075-10-05,0.0,0.0,1000000.0,,,,,,,,,,0.5517621812013633,0.006723353640198904,0.007726656045350703,0,0,0,0.0,0.0,0.0,0.43159347426526873,,1.456627975645282,,,,,,0.0,1000000.0,,0.44823781879863667,0,0,0.0,0,0.0,0.0,0.0,0.06894606087330118,0.04136763652398071,,,,V3
,0.0,2075-10-06,2075-10-06,0.0,0.0,1000000.0,,,,,,,,,,0.5775994290399131,0.006852933857723025,0.0077253371546104534,0,0,0,0.0,0.0,0.0,0.3409854393246759,,1.1508258577207813,,,,,,0.0,1000000.0,,0.4224005709600869,0,0,0.0,0,0.0,0.0,0.0,0.007861553359071655,0.004716932015442993,,,,V3
,0.0,2075-10-07,2075-10-07,0.0,0.0,1000000.0,,,,,,,,,,0.5823750000000001,0.006753261221217199,0.0077240182638702035,0,0,0,0.0,0.0,0.0,0.15803796643606513,,0.5333781367217199,,,,,,0.0,1000000.0,,0.4176249999999999,0,0,0.0,0,0.0,0.0,0.0,-0.05588562699476071,0.0,,,,V3
,0.0,2075-10-08,2075-10-08,0.0,0.0,1000000.0,,,,,,,,,,0.5762341850040978,0.006551019654568278,0.0077226993731299536,0,0,0,0.0,0.0,0.0,0.2451523820348717,,0.827389289367692,,,,,,0.0,1000000.0,,0.42376581499590216,0,0,0.04378057907230069,0,0.0,0.0,0.0,-0.09339985981142787,0.004378057907230069,,,,V3
,0.0,2075-10-09,2075-10-09,0.0,0.0,1000000.0,,,,,,,,,,0.5730149413169846,0.006587603107277845,0.007721380482389704,0,0,0,0.0,0.0,0.0,0.25837047251675577,,0.8720003447440506,,,,,,0.0,1000000.0,,0.4269850586830154,0,0,0.07099469238297082,0,0.0,0.0,0.0,-0.0736615704370539,0.007099469238297082,,,,V3
,0.0,2075-10-10,2075-10-10,0.0,0.0,1000000.0,,,,,,,,,,0.5346770229697699,0.006527772674866818,0.007720061591649454,0,0,0,0.0,0.0,0.0,0.021983529919361294,,-0.07419441347784436,,,,,,0.0,1000000.0,,0.46532297703023007,0,0,0.03468616897882717,0,0.0,0.0,0.0,-0.08367340734115586,0.003468616897882717,,,,V3
,0.0,2075-10-11,2075-10-11,0.0,0.0,1000000.0,,,,,,,,,,0.576946879529187,0.006928627450024521,0.007718742700909204,0,0,0,0.0,0.0,0.0,0.6781757496231205,,-2.288843154978032,,,,,,0.0,1000000.0,BUY series_9 size=3888.0000,0.423053120470813,0,0,0.10683459353584328,0,0.0,0.0,0.0,-0.09060498330885619,0.010683459353584328,,,,V3
,-1944.0,2075-10-11,2075-10-12,2065.5,0.0020655,997934.5,BUY series_9 fill_size=3888.0000 fill_px=113.1875,,,,,,,,,0.5795979004183298,0.007018849853613129,0.007717423810168954,0,0,0,0.0,0.4389140770260974,3888.0,0.9094624136160228,111.60606539235779,-2.619435645954077,,,,,,-1944.0,1000000.0,,0.4204020995816702,0,0,0.07273908735152564,0,0.0,0.0,0.0,-0.09855829432493113,0.007273908735152564,,,,V3
