version,peak_date,peak_equity,trough_date,trough_equity,max_drawdown_abs,max_drawdown_pct,recovery_date,recovery_equity,trading_days_peak_to_trough,trading_days_peak_to_recovery,submitted_orders_at_trough,filled_orders_at_trough,closed_trades_at_trough,nearest_pre_trough_action_date,nearest_pre_trough_action,nearest_post_trough_action_date,nearest_post_trough_action
V2,2075-08-06,1002595.6240000001,2075-10-25,903064.7339999983,99530.89000000176,0.09927321406302264,2076-09-10,1004786.2233749984,80,401,,,,2075-10-20,SELL series_1 fill_size=7717.0000 fill_px=22.5700,2075-11-15,SELL series_1 size=8505.0000
V3,2076-02-03,1022490.3895,2076-03-27,997037.4470000002,25452.94249999989,0.024893087271408418,2076-05-13,1022545.54125,53,100,,,,2076-03-26,SELL series_9 fill_size=4990.0000 fill_px=112.1250,2076-04-02,BUY series_9 size=4990.0000
