run_dir,p_ema_short,p_ema_long,p_hurst_min_soft,true_pd_ratio,open_pnl_pd_ratio,activity_pct,final_value,bankrupt
run_20260313_IS_001,8,40,0.4,2.283797580453663,2.4784172661870505,66.80972818311874,1355222.7891827947,0
run_20260313_IS_002,8,40,0.45,2.283797580453663,2.4784172661870505,66.80972818311874,1340914.340581736,0
run_20260313_IS_003,8,40,0.5,2.283797580453664,2.4784172661870505,66.80972818311874,1323806.4129065578,0
run_20260313_IS_004,8,40,0.55,2.283797580453651,2.4784172661870505,66.80972818311874,1302965.846465885,0
run_20260313_IS_005,8,40,0.6,2.2837975804536605,2.4784172661870505,66.80972818311874,1277148.4283378895,0
run_20260313_IS_006,8,50,0.4,1.1962706738551083,1.6898119713377513,54.142857142857146,1054705.457915394,0
run_20260313_IS_007,8,50,0.45,1.1975675391292617,1.6921730093643748,54.142857142857146,1052240.2911918967,0
run_20260313_IS_008,8,50,0.5,1.1993169984687984,1.6953165270135817,54.142857142857146,1049299.1245390584,0
run_20260313_IS_009,8,50,0.55,1.2009046481256276,1.6992202197916262,54.142857142857146,1045607.9567265151,0
run_20260313_IS_010,8,50,0.6,1.242341270231718,1.7571560680278007,55.36480686695279,1042366.321997442,0
run_20260313_IS_011,8,60,0.4,2.5964668346985937,3.0303030303030303,57.65379113018598,1120590.3056707415,0
run_20260313_IS_012,8,60,0.45,2.596266397980849,3.0303030303030303,57.65379113018598,1114931.5209058162,0
run_20260313_IS_013,8,60,0.5,2.5960133310015614,3.0303030303030303,57.65379113018598,1108212.219689469,0
run_20260313_IS_014,8,60,0.55,2.5956173619823875,3.0303030303030303,57.65379113018598,1099900.1210279781,0
run_20260313_IS_015,8,60,0.6,2.595045746351646,3.0303030303030303,57.65379113018598,1089555.0287065953,0
run_20260313_IS_016,8,70,0.4,0.38993275874941347,1.8662618036297258,23.4620886981402,1025197.3580456849,0
run_20260313_IS_017,8,70,0.45,0.37987962399435093,1.8423517322372285,23.4620886981402,1023435.1432052376,0
run_20260313_IS_018,8,70,0.5,0.36622184643979366,1.8096882858828278,23.4620886981402,1021306.5419933605,0
run_20260313_IS_019,8,70,0.55,0.347010869841113,1.7638746210317957,23.4620886981402,1018690.208738684,0
run_20260313_IS_020,8,70,0.6,0.317950548991917,1.6959491894686312,23.4620886981402,1015406.0657572257,0
run_20260313_IS_021,8,80,0.4,-0.14417486161009177,0.3499878298026883,30.042918454935624,987160.8791176153,0
run_20260313_IS_022,8,80,0.45,-0.15154218318738313,0.336964348207354,30.042918454935624,987068.9026771875,0
run_20260313_IS_023,8,80,0.5,-0.16121052959827833,0.3201364840952002,30.042918454935624,986968.3322334173,0
run_20260313_IS_024,8,80,0.55,-0.17503149370299054,0.29634422809772254,30.042918454935624,986818.5750165,0
run_20260313_IS_025,8,80,0.6,-0.19539901716184677,0.2616540534115223,30.042918454935624,986638.3166304412,0
run_20260313_IS_026,10,40,0.4,2.131960592945423,2.634168417649911,55.937052932761084,1097494.5579153942,0
run_20260313_IS_027,10,40,0.45,2.1297187472352643,2.6332305398353046,55.937052932761084,1092902.5911918967,0
run_20260313_IS_028,10,40,0.5,2.126775277065599,2.631999136907973,55.937052932761084,1087423.2245390585,0
run_20260313_IS_029,10,40,0.55,2.122059000645507,2.6300260791716945,55.937052932761084,1080591.556726515,0
run_20260313_IS_030,10,40,0.6,2.1150056288471886,2.6270752958515757,55.937052932761084,1072125.9219549468,0
run_20260313_IS_031,10,50,0.4,1.5430845181304422,2.084417716229929,33.19027181688126,1170758.5016981633,0
run_20260313_IS_032,10,50,0.45,1.5491374939054603,2.081937663514822,33.19027181688126,1165030.2144679315,0
run_20260313_IS_033,10,50,0.5,1.5567635646089606,2.0787141658057853,33.19027181688126,1158080.3346514413,0
run_20260313_IS_034,10,50,0.55,1.5673384179394374,2.074402932404435,33.19027181688126,1149593.4155010404,0
run_20260313_IS_035,10,50,0.6,1.5823021965572386,2.0684365944698198,33.19027181688126,1138899.3356079948,0
run_20260313_IS_036,10,60,0.4,1.0997042384881328,2.318545852125188,53.0758226037196,1052009.0966894163,0
run_20260313_IS_037,10,60,0.45,1.1073304976189449,2.3137956748695006,53.0758226037196,1050119.7215777028,0
run_20260313_IS_038,10,60,0.5,1.1179161028131341,2.307176391683434,53.0758226037196,1047859.22663387,0
run_20260313_IS_039,10,60,0.55,1.132363736332987,2.2985010706638116,53.0758226037196,1045095.738750313,0
run_20260313_IS_040,10,60,0.6,1.1549219715365469,2.285073212747631,53.0758226037196,1041693.9568911474,0
run_20260313_IS_041,10,70,0.4,2.0763630836725215,2.2912221598352986,57.36766809728183,1176208.4767327849,0
run_20260313_IS_042,10,70,0.45,2.0744638149969354,2.288831200561952,57.36766809728183,1168570.929606651,0
run_20260313_IS_043,10,70,0.5,2.0721767494585923,2.2859520499562946,57.36766809728183,1159437.423456843,0
run_20260313_IS_044,10,70,0.55,2.068926100595319,2.2818598595548414,57.36766809728183,1148284.0714818677,0
