candidate_rank_final,candidate_rank_is,robust_score,metric_key,is_metric,oos_metric,full_metric,is_oos_gap,oos_activity_pct,full_activity_pct,oos_return_pct,full_return_pct,oos_bankrupt,full_bankrupt,oos_run_dir,full_run_dir,params_path,p_ema_short,p_ema_long,p_hurst_min_soft
1,5,-0.7225782795257306,true_pd_ratio,2.9517306325932546,-1.0,1.9006043845441918,3.9517306325932546,1.6666666666666667,9.3,-1.1041324434236777,4.132161188399319,0,0,output\cross_asset_scan_v1\tf\asset05\grid_search\robust_selection\candidate_05\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset05\grid_search\robust_selection\candidate_05\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset05\grid_search\robust_selection\candidate_05\params.json,15.0,50.0,0.4
2,4,-0.7249576426530009,true_pd_ratio,2.961102023963595,-1.0,1.8973588698051278,3.961102023963595,1.6666666666666667,9.3,-1.0563121846439372,3.938547935367165,0,0,output\cross_asset_scan_v1\tf\asset05\grid_search\robust_selection\candidate_04\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset05\grid_search\robust_selection\candidate_04\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset05\grid_search\robust_selection\candidate_04\params.json,15.0,50.0,0.45
3,3,-0.7282306419652327,true_pd_ratio,2.973974178572046,-1.0,1.8928849494019142,3.973974178572046,1.6666666666666667,9.3,-0.99889232001249,3.706620686208062,0,0,output\cross_asset_scan_v1\tf\asset05\grid_search\robust_selection\candidate_03\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset05\grid_search\robust_selection\candidate_03\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset05\grid_search\robust_selection\candidate_03\params.json,15.0,50.0,0.5
4,2,-0.7332627202115383,true_pd_ratio,2.9919924680196397,-1.0,1.8851204999713589,3.9919924680196397,1.6666666666666667,9.3,-0.9288507513908528,3.4225113660011797,0,0,output\cross_asset_scan_v1\tf\asset05\grid_search\robust_selection\candidate_02\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset05\grid_search\robust_selection\candidate_02\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset05\grid_search\robust_selection\candidate_02\params.json,15.0,50.0,0.55
5,1,-0.7411098069270732,true_pd_ratio,3.0197633571577738,-1.0,1.8728489888219761,4.019763357157774,1.6666666666666667,9.3,-0.8412099053744626,3.0682058293093117,0,0,output\cross_asset_scan_v1\tf\asset05\grid_search\robust_selection\candidate_01\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset05\grid_search\robust_selection\candidate_01\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset05\grid_search\robust_selection\candidate_01\params.json,15.0,50.0,0.6
