run_dir,p_sigma_q_low,p_sigma_q_high,p_mult_mid,p_mult_high,true_pd_ratio,open_pnl_pd_ratio,activity_pct,final_value,bankrupt
run_20260314_IS_001,0.2,0.75,0.5,0.2,-0.7980971346834395,-0.7815949265175449,7.428571428571429,901130.45,0
run_20260314_IS_002,0.2,0.75,0.5,0.3,-0.7980971346834395,-0.7815949265175449,7.428571428571429,901130.45,0
run_20260314_IS_003,0.2,0.75,0.5,0.4,-0.7980971346834395,-0.7815949265175449,7.428571428571429,901130.45,0
run_20260314_IS_004,0.2,0.75,0.5,0.5,-0.7980971346834395,-0.7815949265175449,7.428571428571429,901130.45,0
run_20260314_IS_005,0.2,0.75,0.6,0.2,-0.8366291956051332,-0.820291001490641,7.428571428571429,883797.3500000001,0
run_20260314_IS_006,0.2,0.75,0.6,0.3,-0.8366291956051332,-0.820291001490641,7.428571428571429,883797.3500000001,0
run_20260314_IS_007,0.2,0.75,0.6,0.4,-0.8366291956051332,-0.820291001490641,7.428571428571429,883797.3500000001,0
run_20260314_IS_008,0.2,0.75,0.6,0.5,-0.8366291956051332,-0.820291001490641,7.428571428571429,883797.3500000001,0
run_20260314_IS_009,0.2,0.75,0.7,0.2,-0.8760129023388338,-0.8598642791530293,7.428571428571429,865552.9999999999,0
run_20260314_IS_010,0.2,0.75,0.7,0.3,-0.8760129023388338,-0.8598642791530293,7.428571428571429,865552.9999999999,0
run_20260314_IS_011,0.2,0.75,0.7,0.4,-0.8760129023388338,-0.8598642791530293,7.428571428571429,865552.9999999999,0
run_20260314_IS_012,0.2,0.75,0.7,0.5,-0.8760129023388338,-0.8598642791530293,7.428571428571429,865552.9999999999,0
run_20260314_IS_013,0.2,0.75,0.8,0.2,-0.9036740754933899,-0.8870632448901515,7.428571428571429,849079.1999999998,0
run_20260314_IS_014,0.2,0.75,0.8,0.3,-0.9036740754933899,-0.8870632448901515,7.428571428571429,849079.1999999998,0
run_20260314_IS_015,0.2,0.75,0.8,0.4,-0.9036740754933899,-0.8870632448901515,7.428571428571429,849079.1999999998,0
run_20260314_IS_016,0.2,0.75,0.8,0.5,-0.9036740754933899,-0.8870632448901515,7.428571428571429,849079.1999999998,0
run_20260314_IS_017,0.2,0.8,0.5,0.2,-0.5859698439352088,-0.5257807528414812,8.714285714285714,944113.7999999999,0
run_20260314_IS_018,0.2,0.8,0.5,0.3,-0.5859698439352088,-0.5257807528414812,8.714285714285714,944113.7999999999,0
run_20260314_IS_019,0.2,0.8,0.5,0.4,-0.5859698439352088,-0.5257807528414812,8.714285714285714,944113.7999999999,0
run_20260314_IS_020,0.2,0.8,0.5,0.5,-0.5859698439352088,-0.5257807528414812,8.714285714285714,944113.7999999999,0
run_20260314_IS_021,0.2,0.8,0.6,0.2,-0.6026547147835646,-0.5461677871967261,8.714285714285714,934415.95,0
run_20260314_IS_022,0.2,0.8,0.6,0.3,-0.6026547147835646,-0.5461677871967261,8.714285714285714,934415.95,0
run_20260314_IS_023,0.2,0.8,0.6,0.4,-0.6026547147835646,-0.5461677871967261,8.714285714285714,934415.95,0
run_20260314_IS_024,0.2,0.8,0.6,0.5,-0.6026547147835646,-0.5461677871967261,8.714285714285714,934415.95,0
run_20260314_IS_025,0.2,0.8,0.7,0.2,-0.6363344527348402,-0.5825164026925979,8.714285714285714,922395.7999999998,0
run_20260314_IS_026,0.2,0.8,0.7,0.3,-0.6363344527348402,-0.5825164026925979,8.714285714285714,922395.7999999998,0
run_20260314_IS_027,0.2,0.8,0.7,0.4,-0.6363344527348402,-0.5825164026925979,8.714285714285714,922395.7999999998,0
run_20260314_IS_028,0.2,0.8,0.7,0.5,-0.6363344527348402,-0.5825164026925979,8.714285714285714,922395.7999999998,0
run_20260314_IS_029,0.2,0.8,0.8,0.2,-0.6490242560453605,-0.5969135558181301,8.714285714285714,913005.5999999999,0
run_20260314_IS_030,0.2,0.8,0.8,0.3,-0.6490242560453605,-0.5969135558181301,8.714285714285714,913005.5999999999,0
run_20260314_IS_031,0.2,0.8,0.8,0.4,-0.6490242560453605,-0.5969135558181301,8.714285714285714,913005.5999999999,0
run_20260314_IS_032,0.2,0.8,0.8,0.5,-0.6490242560453605,-0.5969135558181301,8.714285714285714,913005.5999999999,0
run_20260314_IS_033,0.2,0.85,0.5,0.2,-0.6240012330423902,-0.5633234791060846,8.857142857142858,940486.6,0
