version,version_role,dataset_key,dataset_label,final_value,true_pd_ratio,open_pnl_pd_ratio,activity_pct,bankrupt,source_ref,source_path,delta_final_value_vs_v2,delta_true_pd_ratio_vs_v2,delta_open_pnl_pd_ratio_vs_v2,delta_activity_pct_vs_v2
V1,asset-specific prototype,part3,PART3,1195196.4626874998,2.6625594853951133,3.197664436329178,88.18818818818819,False,final/submission-integration,Output/coursework_1/stage_5_team01_v1_archive/matrix_summary.csv,64295.79568750225,1.347383191884674,-0.052263735942778666,-2.1118118118118048
V2,submitted baseline,part3,part3_existing,1130900.6669999976,1.3151762935104394,3.249928172271957,90.3,False,final/submission-integration,Output/coursework_2/stage_4_team01_v2_archive/team01_presubmission/part3_existing/run_summary.json,0.0,0.0,0.0,0.0
V3,CA3 refinement,part3,part3,1210964.7031100001,8.288420999261717,9.092636959308761,53.3,False,final/submission-integration,Output/coursework_3/stage_2_team01_v3_final/team01_v3_final/part3,80064.03611000255,6.973244705751278,5.842708787036804,-37.0
