version,version_role,deployed_legs,mapping,base_weights,dynamic_allocation,performance_feedback,loss_freeze,gross_cap,rebalance_threshold,notable_controls_or_params,source_ref,source_path
V1,asset-specific prototype,3,TF series_1 + MR series_10 + GARCH series_7,"1/3, 1/3, 1/3",no,no,no,n/a,n/a,autoload_best single-leg params inside fixed combo,final/submission-integration,Strategies/coursework_1/stage_4_initial_combo_team01_v1.py
V2,submitted baseline,3,TF series_1 + MR series_10 + GARCH series_7,"w_tf=0.45, w_mr=0.45, w_ga=0.10",no,no,no,implicit only through leg vol targets,always target leg-level vol weights,"static asset binding, static weights, vol-targeted legs",final/submission-integration,Strategies/coursework_2/stage_3_team01_v2_presubmission.py
V3,CA3 refinement,2,TF series_1 + MR series_9,"w_tf=0.65, w_mr09=0.35","yes: dynamic_alloc_enabled, tf/mr weight floors and caps",yes: perf_alloc_enabled with floor/cap multipliers,yes: 3 losses trigger 12-bar freeze,1.00,0.015,MR09 z-score + ATR percentile filter; gross cap; rebalance tolerance,final/submission-integration,Strategies/coursework_3/stage_2_team01_v3_final.py
