Criterion,V2,V3,Change in V3
Activity,90.30%,53.30%,-37.00%
Average gross exposure,46.83%,16.72%,-30.11%
95th pct gross exposure,99.39%,54.31%,-45.08%
Days above 95% gross,62,0,-62
Multi-order days,170,11,-159
Duplicate same-series days,148,0,-148
Trade count,165,47,-118
Win rate,49.09%,61.70%,12.61%
Profit factor,1.76,3.41,1.65
