strategy,asset,source_part,target_part,experiment_tag,split,fromdate,todate,true_pd_ratio,open_pnl_pd_ratio,activity_pct,final_value,bankrupt,best_params_path,run_dir
tf,01,part1,part2,ca3_stage1_generic,100-full,2072-09-03,2075-05-30,0.8958936977560925,0.9913073790966249,49.549549549549546,2667396.067482047,False,output\experiments\ca3_stage1_generic\part1\tf\asset01\grid_search\best_params.json,output\experiments\ca3_stage1_generic\part2\tf\asset01\transfer_runs\run_20260417_100-full
mr,10,part1,part2,ca3_stage1_generic,100-full,2072-09-03,2075-05-30,-0.8983119392407296,-0.8492423659718483,3.9,910043.417005035,False,output\experiments\ca3_stage1_generic\part1\mr\asset10\grid_search\best_params.json,output\experiments\ca3_stage1_generic\part2\mr\asset10\transfer_runs\run_20260417_100-full
garch,07,part1,part2,ca3_stage1_generic,100-full,2072-09-03,2075-05-30,-0.6418936863868218,-0.5780991525373661,9.4,989246.6744887998,False,output\experiments\ca3_stage1_generic\part1\garch\asset07\grid_search\best_params.json,output\experiments\ca3_stage1_generic\part2\garch\asset07\transfer_runs\run_20260417_100-full
combo,01+07+10,part1,part2,ca3_stage1_generic,100-full,2072-09-03,2075-05-30,0.13586391362012762,1.779789621791178,81.88188188188188,1021619.7190516804,False,,output\experiments\ca3_stage1_generic\part2\combo\combined_w045_045_010_20260417_145017
