candidate_rank_final,candidate_rank_is,robust_score,metric_key,is_metric,oos_metric,full_metric,is_oos_gap,oos_activity_pct,full_activity_pct,oos_return_pct,full_return_pct,oos_bankrupt,full_bankrupt,oos_run_dir,full_run_dir,params_path,p_lookback,p_entry_z,p_exit_z
1,2,-0.09734338867521988,true_pd_ratio,-0.2562166389954153,0.057304999209901154,-0.09241438250096641,0.3135216382053165,6.0200668896321075,5.7057057057057055,0.199481059789397,-0.39252328172253437,0,0,output\cross_asset_scan_v1\mr\asset05\grid_search\robust_selection\candidate_02\oos\run_20260314_30-oos,output\cross_asset_scan_v1\mr\asset05\grid_search\robust_selection\candidate_02\full\run_20260314_100-full,output\cross_asset_scan_v1\mr\asset05\grid_search\robust_selection\candidate_02\params.json,30.0,2.25,0.25
2,1,-0.28477939353121184,true_pd_ratio,-0.16258359560532543,-0.29961448863179885,-0.1816487251166055,0.13703089302647342,12.709030100334449,9.70970970970971,-1.4264148633520657,-1.1440645329457655,0,0,output\cross_asset_scan_v1\mr\asset05\grid_search\robust_selection\candidate_01\oos\run_20260314_30-oos,output\cross_asset_scan_v1\mr\asset05\grid_search\robust_selection\candidate_01\full\run_20260314_100-full,output\cross_asset_scan_v1\mr\asset05\grid_search\robust_selection\candidate_01\params.json,50.0,2.0,1.0
3,4,-0.3506363011668626,true_pd_ratio,-0.29111395197266254,-0.3488616709618709,-0.3259032454839059,0.05774771898920833,14.715719063545151,11.511511511511511,-1.6559972133200818,-1.8589318699008595,0,0,output\cross_asset_scan_v1\mr\asset05\grid_search\robust_selection\candidate_04\oos\run_20260314_30-oos,output\cross_asset_scan_v1\mr\asset05\grid_search\robust_selection\candidate_04\full\run_20260314_100-full,output\cross_asset_scan_v1\mr\asset05\grid_search\robust_selection\candidate_04\params.json,50.0,2.0,0.75
4,5,-0.39816789038870737,true_pd_ratio,-0.30504618754296187,-0.3994725155599155,-0.3479106009807451,0.09442632801695361,16.05351170568562,12.112112112112111,-1.9002591518721523,-1.7815011220840504,0,0,output\cross_asset_scan_v1\mr\asset05\grid_search\robust_selection\candidate_05\oos\run_20260314_30-oos,output\cross_asset_scan_v1\mr\asset05\grid_search\robust_selection\candidate_05\full\run_20260314_100-full,output\cross_asset_scan_v1\mr\asset05\grid_search\robust_selection\candidate_05\params.json,50.0,2.0,0.25
5,3,-0.4548776368741911,true_pd_ratio,-0.29111395197266254,-0.4436984854114124,-0.40467005690129987,0.15258453343874984,15.719063545150501,11.811811811811811,-2.1061742133200667,-2.308212869900883,0,0,output\cross_asset_scan_v1\mr\asset05\grid_search\robust_selection\candidate_03\oos\run_20260314_30-oos,output\cross_asset_scan_v1\mr\asset05\grid_search\robust_selection\candidate_03\full\run_20260314_100-full,output\cross_asset_scan_v1\mr\asset05\grid_search\robust_selection\candidate_03\params.json,50.0,2.0,0.5
