dataset,asset_count,total_rows,min_rows,max_rows,start_date,end_date,mean_total_return,median_total_return,mean_annualized_volatility,mean_daily_log_return,mean_avg_volume
PART1,10,10000,1000,1000,2069-12-08,2072-09-02,-0.04289118893061444,-0.025035685478290937,0.1649466581578203,-9.894319955682903e-05,60157.15579999999
PART2,10,10000,1000,1000,2072-09-03,2075-05-30,0.2785139565272204,0.21599305133942404,0.1948009684841167,0.00021791056799264907,75130.2311
PART3,10,10000,1000,1000,2075-05-31,2078-02-23,0.2596381117039777,0.10206243785293712,0.22651949435417312,0.00020282955695811815,188007.9108
PART123,10,30000,3000,3000,2069-12-08,2078-02-23,0.5187857793240193,0.20244803898313934,0.1977159648729924,0.0001100039523998775,107765.09923333333
