candidate_rank_final,candidate_rank_is,robust_score,metric_key,is_metric,oos_metric,full_metric,is_oos_gap,oos_activity_pct,full_activity_pct,oos_return_pct,full_return_pct,oos_bankrupt,full_bankrupt,oos_run_dir,full_run_dir,params_path,p_ema_short,p_ema_long,p_hurst_min_soft
1,5,-0.2742992778337895,true_pd_ratio,1.7669241600559316,-0.20167070241367357,0.5405314774207425,1.968594862469605,6.354515050167224,63.46346346346346,-0.3350373218733216,68.70966200417503,0,0,output\cross_asset_scan_v1\tf\asset09\grid_search\robust_selection\candidate_05\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset09\grid_search\robust_selection\candidate_05\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset09\grid_search\robust_selection\candidate_05\params.json,12.0,60.0,0.4
2,4,-0.2747185229144741,true_pd_ratio,1.767036412211634,-0.2021448823553713,0.5405336297311222,1.9691812945670053,6.354515050167224,63.46346346346346,-0.3202297032686152,65.96903129099738,0,0,output\cross_asset_scan_v1\tf\asset09\grid_search\robust_selection\candidate_04\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset09\grid_search\robust_selection\candidate_04\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset09\grid_search\robust_selection\candidate_04\params.json,12.0,60.0,0.45
3,3,-0.2752718483734719,true_pd_ratio,1.7671884677601752,-0.20276997756685688,0.5405363424079425,1.9699584453270322,6.354515050167224,63.46346346346346,-0.3024097814022131,62.68617633686586,0,0,output\cross_asset_scan_v1\tf\asset09\grid_search\robust_selection\candidate_03\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset09\grid_search\robust_selection\candidate_03\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset09\grid_search\robust_selection\candidate_03\params.json,12.0,60.0,0.5
4,2,-0.27605326637846467,true_pd_ratio,1.767396307043675,-0.20365342290282443,0.5405386304849578,1.9710497299464993,6.354515050167224,63.46346346346346,-0.2806580877548037,58.67364178559649,0,0,output\cross_asset_scan_v1\tf\asset09\grid_search\robust_selection\candidate_02\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset09\grid_search\robust_selection\candidate_02\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset09\grid_search\robust_selection\candidate_02\params.json,12.0,60.0,0.55
5,1,-0.2773636708272196,true_pd_ratio,1.7677025460266163,-0.20514238449059335,0.5405424596459241,1.9728449305172095,6.354515050167224,63.46346346346346,-0.25368945412150845,53.665416666281416,0,0,output\cross_asset_scan_v1\tf\asset09\grid_search\robust_selection\candidate_01\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset09\grid_search\robust_selection\candidate_01\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset09\grid_search\robust_selection\candidate_01\params.json,12.0,60.0,0.6
