candidate_rank_final,candidate_rank_is,robust_score,metric_key,is_metric,oos_metric,full_metric,is_oos_gap,oos_activity_pct,full_activity_pct,oos_return_pct,full_return_pct,oos_bankrupt,full_bankrupt,oos_run_dir,full_run_dir,params_path,p_ema_short,p_ema_long,p_hurst_min_soft
1,1,-0.6905894385953305,true_pd_ratio,2.8199962464633015,-0.7351170245666467,1.1908648975193814,3.5551132710299482,8.695652173913043,70.47047047047047,-5.1767470582298465,10.508620567074134,0,0,output\cross_asset_scan_v1\tf\asset02\grid_search\robust_selection\candidate_01\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset02\grid_search\robust_selection\candidate_01\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset02\grid_search\robust_selection\candidate_01\params.json,12.0,50.0,0.4
2,2,-0.6905910209904711,true_pd_ratio,2.819795809745549,-0.7351170245666488,1.190759404510043,3.554912834312198,8.695652173913043,70.47047047047047,-5.000449170797927,10.015382090581614,0,0,output\cross_asset_scan_v1\tf\asset02\grid_search\robust_selection\candidate_02\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset02\grid_search\robust_selection\candidate_02\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset02\grid_search\robust_selection\candidate_02\params.json,12.0,50.0,0.45
3,3,-0.6905930188876765,true_pd_ratio,2.8195427427662696,-0.7351170245666478,1.1906262113630484,3.554659767332917,8.695652173913043,70.47047047047047,-4.789807539060986,9.429711968946908,0,0,output\cross_asset_scan_v1\tf\asset02\grid_search\robust_selection\candidate_03\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset02\grid_search\robust_selection\candidate_03\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset02\grid_search\robust_selection\candidate_03\params.json,12.0,50.0,0.5
4,4,-0.6905961449588798,true_pd_ratio,2.8191467737470863,-0.7351170245666488,1.1904178066161155,3.5542637983137353,8.695652173913043,70.47047047047047,-4.531084665297202,8.705192102797788,0,0,output\cross_asset_scan_v1\tf\asset02\grid_search\robust_selection\candidate_04\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset02\grid_search\robust_selection\candidate_04\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset02\grid_search\robust_selection\candidate_04\params.json,12.0,50.0,0.55
5,5,-0.6906006577138581,true_pd_ratio,2.8185751581163516,-0.735117024566647,1.190116956284148,3.5536921826829984,8.695652173913043,70.47047047047047,-4.208253468830813,7.8034778706595365,0,0,output\cross_asset_scan_v1\tf\asset02\grid_search\robust_selection\candidate_05\oos\run_20260313_30-oos,output\cross_asset_scan_v1\tf\asset02\grid_search\robust_selection\candidate_05\full\run_20260313_100-full,output\cross_asset_scan_v1\tf\asset02\grid_search\robust_selection\candidate_05\params.json,12.0,50.0,0.6
